image,prediction
train0.png,Разум
train1.png,п
train2.png,чувства
train3.png,Что
train4.png,же
train5.png,это
train6.png,такое
train7.png,9
train8.png,это
train9.png,две
train10.png,важнейшие
train11.png,силы
train12.png,внутреннего
train13.png,мира
train14.png,человека
train15.png,которые
train16.png,нуждаются
train17.png,друг
train18.png,в
train19.png,друге.
train20.png,Душа
train21.png,человека
train22.png,очень
train23.png,сложна.
train24.png,Бывают
train25.png,силующим
train26.png,когда
train27.png,чувства
train28.png,Незара
train29.png,преобладают
train30.png,над
train31.png,разумом
train32.png,а
train33.png,иногда
train34.png,разум
train35.png,берет
train36.png,вверх
train37.png,над
train38.png,чувствами
train39.png,Не
train40.png,зря
train41.png,Люк
train42.png,де
train43.png,Клапье
train44.png,Вовенур
train45.png,говорил
train46.png,Разуму
train47.png,не
train48.png,постичь
train49.png,надобностей
train50.png,"сердца""."
train51.png,Ведь
train52.png,действительно
train53.png,человек
train54.png,при
train55.png,всем
train56.png,желании
train57.png,не
train58.png,способен
train59.png,управлять
train60.png,настоящими
train61.png,чувствами
train62.png,которые
train63.png,затмевают
train64.png,противоречейщий
train65.png,им
train66.png,разум.
train67.png,Такой
train68.png,сюжет
train69.png,мы
train70.png,монам
train71.png,наблюдать
train72.png,в
train73.png,романе
train74.png,Ивана
train75.png,Сергеевича
train76.png,Тургенева
train77.png,Отцы
train78.png,и
train79.png,"дети,"
train80.png,где
train81.png,главный
train82.png,герой
train83.png,Евгений
train84.png,Васильевич
train85.png,Базаров
train86.png,будучи
train87.png,нимилистом
train88.png,отрицал
train89.png,буквально
train90.png,всё
train91.png,вплоть
train92.png,до
train93.png,любви.
train94.png,Его
train95.png,внутренний
train96.png,принцип
train97.png,был
train98.png,против
train99.png,всякой
train100.png,романтики
train101.png,чувств.
train102.png,Он
train103.png,считал
train104.png,это
train105.png,белибердой
train106.png,непро-
train107.png,стительной
train108.png,"дурью..."""
train109.png,Решающей
train110.png,чертой
train111.png,ставшей
train112.png,наперекор
train113.png,его
train114.png,взглядов
train115.png,была
train116.png,встреча
train117.png,с
train118.png,Анной
train119.png,Одинцовой
train120.png,женщиной
train121.png,которая
train122.png,была
train123.png,не
train124.png,такая
train125.png,как
train126.png,все.
train127.png,Что
train128.png,пле
train129.png,это
train130.png,1439 м
train131.png,и
train132.png,47 апо
train133.png,тапок
train134.png,Это
train135.png,дле
train136.png,влинейшее
train137.png,сила
train138.png,вичутнено
train139.png,мур.
train140.png,мелонек
train141.png,сторые
train142.png,ниждаются
train143.png,СРЧГ
train144.png,п
train145.png,друге
train146.png,Фтиа
train147.png,исловена
train148.png,очень
train149.png,СЛОМАН
train150.png,Бысают
train151.png,ситуации
train152.png,когд А
train153.png,ЧУВСТВА
train154.png,челокена
train155.png,преобладают
train156.png,нед
train157.png,8134404
train158.png,иногда
train159.png,РАЗ 4
train160.png,почет
train161.png,пер
train162.png,под
train163.png,чиствани
train164.png,Не
train165.png,1817
train166.png,Люк
train167.png,де
train168.png,Клапье
train169.png,Роялард
train170.png,оторил
train171.png,"О1244,"
train172.png,1-го
train173.png,лести и
train174.png,следовностей
train175.png,сердца
train176.png,Владь
train177.png,действительно
train178.png,человек
train179.png,придел
train180.png,шелании
train181.png,не
train182.png,сиборон
train183.png,ЧАРЛЕЛИТ
train184.png,настоящих
train185.png,чистыми
train186.png,которые
train187.png,путельная
train188.png,проти
train189.png,корецкий
train190.png,РЛЭЧМ
train191.png,Такой
train192.png,сюнит
train193.png,м.р.
train194.png,мощем
train195.png,наблюдать
train196.png,Ронане
train197.png,имел
train198.png,Сергеев
train199.png,и ил
train200.png,1 урненевз
train201.png,Отуч
train202.png,"идети"""
train203.png,буде
train204.png,ИСВОНИЯ
train205.png,черо б
train206.png,в бениб
train207.png,В СЕМЕВЧИ
train208.png,влиров
train209.png,будучи
train210.png,николистем
train211.png,отрицал
train212.png,рукопуль
train213.png,псё
train214.png,выполь
train215.png,д. Д
train216.png,ИНОБРИ
train217.png,Ебо
train218.png,инственный
train219.png,плунцио
train220.png,111л
train221.png,пробив
train222.png,в докоб
train223.png,РОНАНЧИКИ
train224.png,лучей
train225.png,Он
train226.png,считал
train227.png,это
train228.png,фельвердой
train229.png,непростительно
train230.png,доверь
train231.png,вешающей
train232.png,черто б
train233.png,облост
train234.png,ест
train235.png,налерея
train236.png,его
train237.png,Узблядив
train238.png,выл
train239.png,возресил
train240.png,Луной
train241.png,одинуской
train242.png,менщиноб
train243.png,корода
train244.png,БИЛ.А.
train245.png,10
train246.png,чекл.
train247.png,КАЛ
train248.png,как
train249.png,Герой
train250.png,исучения
train251.png,плюратетет
train252.png,п
train253.png,не
train254.png,поэти
train255.png,ЧУВСТЪ
train256.png,двиание
train257.png,для
train258.png,С
train259.png,Вения
train260.png,неориемлиными
train261.png,о
train262.png,стренильник
train263.png,У
train264.png,Анны
train265.png,сил
train266.png,ие
train267.png,25 011.
train268.png,ч ихи
train269.png,седенных
train270.png,Склонностей
train271.png,только
train272.png,6414 9
train273.png,въ 7103а
train274.png,Он
train275.png,взя ческа
train276.png,Мылья
train277.png,это
train278.png,сирыть
train279.png,Вед.
train280.png,ул.111312
train281.png,ед.)
train282.png,признак
train283.png,очнея
train284.png,Д.п.
train285.png,прознач
train286.png,сущ
train287.png,ЛИША
train288.png,растоку
train289.png,Героя
train290.png,110
train291.png,но
train292.png,контроли
train293.png,ронато
train294.png,сосн
train295.png,происходит
train296.png,(11
train297.png,потому
train298.png,что
train299.png,0016 А
train300.png,РАФИА
train301.png,и
train302.png,сердца
train303.png,ДОМАЛА
train304.png,стоя
train305.png,дело
train306.png,Но
train307.png,иконей
train308.png,оризношество
train309.png,В
train310.png,Молгори
train311.png,Думу
train312.png,особ
train313.png,получит
train314.png,отрежения
train315.png,Это
train316.png,приводит
train317.png,разграда К
train318.png,первокуальные
train319.png,иванция
train320.png,где
train321.png,джигные
train322.png,полыви
train323.png,япляются
train324.png,досто
train325.png,разредон
train326.png,по
train327.png,солнению
train328.png,с
train329.png,оследучан
train330.png,Но не
train331.png,пылдет
train332.png,такого
train333.png,что вы
train334.png,Арбовь
train335.png,мосто
train336.png,телехотом
train337.png,повед
train338.png,считью
train339.png,но
train340.png,р
train341.png,Ездение
train342.png,ОНА
train343.png,пле
train344.png,1кл
train345.png,воздается
train346.png,и
train347.png,достает
train348.png,лотив
train349.png,е д.
train350.png,РАЗИНА
train351.png,О
train352.png,и тобле
train353.png,локсидая
train354.png,он
train355.png,"ВИОР, в"
train356.png,мегомцест
train357.png,о
train358.png,холови
train359.png,к
train360.png,А уне
train361.png,11 15
train362.png,в-А
train363.png,осудку
train364.png,дикод Х
train365.png,10
train366.png,мости 2.
train367.png,сердца
train368.png,Ещё
train369.png,диим
train370.png,и
train371.png,ярких
train372.png,принеров
train373.png,поглюборотла
train374.png,"р.13,"
train375.png,тип
train376.png,ЧАМСТРА
train377.png,имелется
train378.png,авоизо
train379.png,дение
train380.png,4 М
train381.png,Кумущее
train382.png,Бедная
train383.png,Лиза
train384.png,Словой
train385.png,необлад
train386.png,лодости
train387.png,меняется
train388.png,оценен.
train389.png,Бедид
train390.png,п.
train391.png,вкрестьянка
train392.png,113.
train393.png,которая
train394.png,31051995ел
train395.png,А бедатетя
train396.png,добтина
train397.png,ЭРСДА
train398.png,Казалось
train399.png,что
train400.png,и
train401.png,либоров
train402.png,никола
train403.png,1
train404.png,112
train405.png,поектика
train406.png,и
train407.png,В.п
train408.png,уже
train409.png,чивостительная
train410.png,ден ФЦИ
train411.png,полостью
train412.png,эфекса
train413.png,своену
train414.png,почиолементому
train415.png,с с
train416.png,сердце
train417.png,берет
train418.png,недх
train419.png,нач
train420.png,изуячно
train421.png,м
train422.png,Но
train423.png,сомалению
train424.png,Чурствах
train425.png,молодего
train426.png,уюлянин
train427.png,состоянная
train428.png,охлучивают
train429.png,ксаоде
train430.png,онзоцыкет
train431.png,2
train432.png,лосимой
train433.png,поход 130
train434.png,произвыв лет
train435.png,же
train436.png,состянце
train437.png,и
train438.png,по
train439.png,минундению
train440.png,женится
train441.png,ск
train442.png,бодател
train443.png,19052
train444.png,На
train445.png,этем
train446.png,берплецие
train447.png,Лизыне
train448.png,инферживает
train449.png,и
train450.png,она
train451.png,лев
train452.png,н
train453.png,1 149
train454.png,года
train455.png,для
train456.png,девушки
train457.png,посуток
train458.png,людимого
train459.png,66 к
train460.png,илиным
train461.png,удтеон
train462.png,приносиршино
train463.png,фушейную
train464.png,2016.
train465.png,избавиться
train466.png,04
train467.png,королоб
train468.png,о исп.
train469.png,хорелу
train470.png,лише
train471.png,Асмоурийском
train472.png,Её
train473.png,1737М
train474.png,плотек
train475.png,речил
