image,prediction
train0.png,Разум
train1.png,и
train2.png,чувства
train3.png,Что
train4.png,же
train5.png,это
train6.png,такое
train7.png,5
train8.png,это
train9.png,двег
train10.png,важнейшие
train11.png,силы
train12.png,внутреннего
train13.png,мира
train14.png,человека
train15.png,которые
train16.png,нужданотся
train17.png,учуг
train18.png,в
train19.png,друге.
train20.png,Дугиа
train21.png,человека
train22.png,очень
train23.png,сложна.
train24.png,Бывают
train25.png,сирщаций
train26.png,когда
train27.png,чувотва
train28.png,Негра
train29.png,преобладают
train30.png,лад
train31.png,разумом
train32.png,а
train33.png,иногуа
train34.png,ризули
train35.png,берет
train36.png,вырх
train37.png,мад
train38.png,чувствами
train39.png,Не
train40.png,зря
train41.png,Яюк
train42.png,де
train43.png,Плапье
train44.png,Вовенарг
train45.png,говорил:
train46.png,Разгрму
train47.png,ме
train48.png,постичь
train49.png,надобностей
train50.png,серуца
train51.png,Ведь
train52.png,действительно
train53.png,человек
train54.png,при
train55.png,всем
train56.png,желании
train57.png,не
train58.png,способен
train59.png,управлять
train60.png,настроящими
train61.png,гувствамы
train62.png,которые
train63.png,заплевают
train64.png,протоворечащий
train65.png,им
train66.png,разум.
train67.png,Такой
train68.png,сюжет
train69.png,мы
train70.png,мопам
train71.png,наблюдать
train72.png,в
train73.png,романе
train74.png,Ивана
train75.png,Серговича
train76.png,Тургенева
train77.png,Отцы
train78.png,и
train79.png,дети
train80.png,где
train81.png,гливный
train82.png,герой
train83.png,Евгений
train84.png,Васильевич
train85.png,Базаров
train86.png,будучи
train87.png,"нишлистом,"
train88.png,отрицал
train89.png,буквально
train90.png,всё
train91.png,вплоть
train92.png,до
train93.png,любой
train94.png,Его
train95.png,внутренний
train96.png,принцип
train97.png,был
train98.png,против
train99.png,всякой
train100.png,романтики
train101.png,чувоть.
train102.png,Он
train103.png,читал
train104.png,это
train105.png,белиборуой
train106.png,непро-
train107.png,стительной
train108.png,дурью
train109.png,Решающей
train110.png,чертой
train111.png,стившей
train112.png,наперетор
train113.png,его
train114.png,взглядов
train115.png,была
train116.png,вапрыл
train117.png,с
train118.png,Анной
train119.png,Одинцовой
train120.png,женщный
train121.png,поторая
train122.png,была
train123.png,не
train124.png,такая
train125.png,как
train126.png,все.
train127.png,Что
train128.png,ме
train129.png,это
train130.png,ЕзМ
train131.png,и
train132.png,ЧУВОВ
train133.png,талое
train134.png,Это
train135.png,зне
train136.png,Вашнойшие
train137.png,силы
train138.png,выйленного
train139.png,мИР.
train140.png,человека
train141.png,сторые
train142.png,и иждаются
train143.png,Сряг
train144.png,из
train145.png,дычте
train146.png,Фтия
train147.png,неловена
train148.png,я чень
train149.png,сложна
train150.png,Бысают
train151.png,ситулими
train152.png,колда
train153.png,иуветва
train154.png,челокека
train155.png,преовляд 14ют
train156.png,ная
train157.png,длзЧМИ
