Final_Rank,Model,CER,WER,Accuracy,Average_Rank
1,trba_base_g1,0.0111,0.0392,0.9649,1.0
2,trba_lite_g1,0.0157,0.0557,0.95,2.0
3,trba_lite_g2,0.0158,0.0562,0.9493,3.0
4,trocr_ru_1700s,0.0854,0.216,0.8088,4.0
5,trocr_cyrillic_hw,0.2833,0.651,0.4805,5.3333
6,dialecticstackmixDomino,0.3103,0.7034,0.336,6.6667
7,trocr_ru_kazars24,0.2868,0.7501,0.2696,8.0
8,dialecticDomino,0.361,0.7582,0.2705,8.6667
9,cyrillic_g2,4.0555,1.2718,0.5085,9.0
9,cyrillic_g1,1.8229,1.0918,0.3274,9.0
11,trocr_ru_base_rxt,2.2654,1.0229,0.2851,9.3333
