image,prediction
img\6_28_409.jpg,в простой оправе
img\11_29_40.jpg,Северо-Казахстанская
img\6_5_412.jpg,Я бросия в ночь
img\9_2_577.jpg,Колхозницы
img\6_49_385.jpg,молодость прошла!
img\3_6_720.jpg,"Где в замке пустом,"
img\6_51_383.jpg,Я со стола
img\10_12_343.jpg,Кыдылорде
img\0_39_11.jpg,позабыли
img\9_24_569.jpg,"Опять, как"
img\4_37_733.jpg,"ни черной хаты,"
img\2_28_684.jpg,не лицемерить
img\5_39_325.jpg,искалеченные руки
img\10_21_453.jpg,Россия
img\2_29_172.jpg,"клятвой обещал,"
img\8_23_847.jpg,Но пока мне рот
img\10_14_281.jpg,ПЕТРОПАВЛОВСК
img\3_51_719.jpg,не ворон степной?
img\1_13_658.jpg,"Ой,"
img\13_17_193.jpg,Новодолинский
img\10_18_0.jpg,Туркестан
img\9_41_535.jpg,переночевал
img\10_2_383.jpg,Киргизия
img\7_45_422.jpg,почул на плечах
img\9_8_880.jpg,Стог принимает
img\10_7_447.jpg,Актау
img\12_47_136.jpg,Тагданорган
img\5_1_318.jpg,Жестокой
img\0_21_60.jpg,Друг другу
img\5_44_318.jpg,мая!
img\10_26_127.jpg,Акмолинская
img\0_20_100.jpg,Не вместе.
img\3_21_186.jpg,Последний потомок
img\9_48_553.jpg,выси
img\10_41_356.jpg,Южно-Казахстанская
img\10_14_472.jpg,Петропавловск
img\8_33_478.jpg,что меня вскормило
img\6_8_794.jpg,"Летели дни, крутясь"
img\10_9_320.jpg,Атырау
img\10_39_88.jpg,Туркестанская
img\8_1_498.jpg,выжигал свой
img\3_4_203.jpg,"На запад, на запад"
img\13_38_157.jpg,Индерборский
img\4_48_291.jpg,"путь мои скучен,"
img\0_47_15.jpg,будут мстить
img\5_31_773_.jpg,"моряку, горят."
img\10_13_381.jpg,Павлодар
img\13_6_167.jpg,Хролетау
img\2_5_139.jpg,Людей коварны
img\10_12_326.jpg,Кызылорда
img\10_4_136.jpg,Узбекистан
img\10_27_376.jpg,Алматинская
img\3_47_208.jpg,отважных бойцов
img\10_21_389.jpg,Россия
img\10_12_338.jpg,Кызылорда
img\11_37_20.jpg,Акколь
img\0_6_6.jpg,Откинув лапы
img\10_20_110.jpg,Шамрент
img\8_45_516_.jpg,Теперь мне сорок
img\10_7_339.jpg,Актац
img\10_25_134.jpg,Молдавия
img\10_36_198.jpg,Восточно Казахстанская
img\1_38_221.jpg,"обнимает,"
img\10_37_448.jpg,ЖАМБЫЛЬСКАЯ
img\10_5_113.jpg,Астана
img\4_15_263.jpg,Заьтря к милой
img\1_8_122.jpg,стыда
img\10_25_184.jpg,Молдавия
img\10_22_95.jpg,Украина
img\10_24_67.jpg,Южная Осетия
img\10_20_136.jpg,-
img\0_32_22.jpg,и оскалив пость.
img\7_3_431.jpg,И женщина
img\12_51_112.jpg,Темиргоу
img\0_32_43_.jpg,и оскалив пасть
img\10_7_203.jpg,Актау
img\10_2_159.jpg,Киргизия
img\8_50_517.jpg,раздаваться
img\2_36_133.jpg,Не названье
img\11_43_65.jpg,Алматы
img\9_15_877.jpg,"Зарывшись,"
img\9_3_551.jpg,Проходят с
img\5_20_320.jpg,В сокровищнице
img\0_34_27.jpg,"густая, словно грязь"
img\11_20_24_.jpg,Атырадская
img\9_39_554.jpg,"как сеновал,"
img\13_1_167.jpg,Уральск
img\6_5_796.jpg,Ябросил в ночь
img\1_30_658.jpg,добежит.
img\8_43_514.jpg,связком
img\13_22_150.jpg,Актау
img\10_2_279.jpg,КИРГИЗИЯ
img\8_20_514.jpg,Что сказать лишь
img\8_26_503.jpg,"дикого зверя в клетку,"
img\6_26_383.jpg,"о подвигах, о славе"
img\11_38_37.jpg,Аксай
img\5_41_341.jpg,"ныло от разлуки,"
img\5_40_347.jpg,"зеленеетель,"
img\3_5_719.jpg,Где цветут моих
img\9_28_529.jpg,"смеются с возу,"
img\9_27_537.jpg,"во все концы,"
img\3_33_214.jpg,покоится прах.
img\10_39_313_.jpg,Туркестанская
img\8_47_473.jpg,длинной.
img\6_37_389.jpg,тебя
img\7_11_439.jpg,И мы ломаем руки
img\8_2_513.jpg,и кликуху гвозделе
img\2_20_163.jpg,"И тени чувств,"
img\4_5_724.jpg,Тройка борзая
img\8_30_844.jpg,с кем во Урраке
img\4_11_727.jpg,"Ни огня,"
img\10_26_166.jpg,Акмолинская
img\13_19_182.jpg,Аксу
img\10_38_153.jpg,Западно-Казахстанская
img\10_5_354.jpg,Астана
img\3_42_220.jpg,смолкнул бы он
img\9_3_563.jpg,Проходят с
img\6_30_377.jpg,и ты ушла из дому
img\7_4_442.jpg,Сперва измучившись
img\11_40_45.jpg,Актау
img\10_31_356.jpg,Карагандинская
img\4_31_734.jpg,Зежит
img\10_35_377.jpg,Северо-Казахстанская
img\3_22_205.jpg,Увядает средь
img\4_29_746.jpg,свет она.
img\1_17_96.jpg,Мои руки
img\10_16_356.jpg,Тараз
img\12_13_118.jpg,Казалинск
img\1_7_67.jpg,Голос
img\0_5_13.jpg,Она лежала в
img\9_27_878.jpg,"во все концы,"
img\13_15_156.jpg,Экибастуз
img\10_8_74.jpg,Актобе
img\8_45_509.jpg,Теперь мне сорок
img\10_12_458.jpg,Кызылорда
img\10_36_338.jpg,Восточно-Казахстанская
img\10_31_106.jpg,Карагандинская
img\11_51_19.jpg,Булаево
img\8_41_508.jpg,изгнанья
img\1_18_68.jpg,кровь
img\4_45_257.jpg,"свой совершит,"
img\3_27_233.jpg,сейчас надо мной.
img\13_10_157.jpg,Шахинск
img\5_40_330.jpg,"зеленеетель,"
img\10_11_274.jpg,Костанай
img\4_24_259.jpg,Колокольчик
img\10_23_435.jpg,Абхазия
img\6_14_374.jpg,"Я слезы мил,"
img\3_48_242.jpg,чуждых снегов.
img\0_0_627.jpg,Шел человек
img\11_18_58_.jpg,поселок
img\7_23_817.jpg,Подскальпелем
img\3_34_715.jpg,их наследственный щит
img\7_11_444.jpg,"И мы ломаем руки,"
img\10_5_347.jpg,Астана
img\13_26_173.jpg,Белколь
img\10_8_437.jpg,Актобе
img\3_16_208.jpg,"Как раздался, так"
img\10_4_472.jpg,УЗБЕКИСТАЙ
img\12_42_125.jpg,Серебрянск
img\9_45_556.jpg,ночлего
img\10_13_263.jpg,ПАВЛОДАР
img\10_1_289.jpg,Белоруссия
img\1_5_659.jpg,"я люблю тебя,"
img\12_16_134.jpg,Карагада
img\0_10_62.jpg,Слепым волчатам
img\2_29_692.jpg,"клятвой обещал,"
img\2_31_151.jpg,"не всегда,"
img\4_18_735.jpg,звучно стрелка
img\10_13_29.jpg,Повлодояр
img\12_10_105.jpg,Житикара
img\9_5_567.jpg,Гребут и
img\7_2_449.jpg,что в печь
img\6_19_401.jpg,Я крепко
img\1_39_70.jpg,оплеть
img\2_8_689.jpg,Что время лечит
img\10_35_121.jpg,Северно Казахстанская
img\10_5_419.jpg,Астина.
img\1_40_99.jpg,джигит!
img\4_13_726.jpg,Только версты полосать
img\10_9_66.jpg,Атырау
img\10_23_105.jpg,Абхазия
img\8_6_501.jpg,"трижды тонул,"
img\10_32_187.jpg,Костанайская
img\9_22_857.jpg,вновь синеют
img\10_9_103.jpg,Атырац
img\10_0_98.jpg,Казахстан
img\8_35_523.jpg,"помнящих вокли гунна,"
img\3_15_187.jpg,"Внимаем одним,"
img\8_7_482.jpg,"Бросил страну,"
img\6_42_406.jpg,ты из дому ушла
img\0_39_22.jpg,"позабыли,"
img\5_15_307.jpg,"И там, где сердце"
img\3_24_216.jpg,но нездешнии
img\5_10_753.jpg,Где был пожар
img\11_27_47.jpg,Западно-Казахстанская
img\10_14_67.jpg,Петропавловск
img\6_9_380.jpg,зино и строить
img\5_46_324.jpg,памяти народной
img\1_29_116.jpg,и Львом
img\6_19_369.jpg,Я крепко
img\9_47_875.jpg,полдень
img\12_17_82.jpg,Каражал
img\1_23_112.jpg,Дали смелому
img\4_28_733.jpg,поляны
img\1_48_85.jpg,меня.
img\1_26_94.jpg,"джигит,"
img\6_34_774.jpg,проклятым роем.
img\1_34_104.jpg,дрожит
img\13_27_146.jpg,Бестобе
img\1_13_88.jpg,"Ой,"
img\12_1_137.jpg,Ерейментау
img\10_5_431.jpg,Астана
img\8_11_509.jpg,"сеял рожь, покрывал"
img\7_30_815.jpg,нам насладиться
img\12_27_116.jpg,Ленгер
img\1_35_172.jpg,"звочких струй,"
img\11_39_25.jpg,Аксу
img\13_20_151.jpg,Аллу
img\1_36_70.jpg,обгоняет.
img\10_20_428.jpg,Шымкент
img\4_37_253_.jpg,"ни черной хаты,"
img\10_12_344.jpg,Кызылорда
img\0_46_31.jpg,А встретятся -
img\0_28_614.jpg,не узнать
img\4_19_282.jpg,Мерный круг
img\9_23_868.jpg,"Опять стога,"
img\4_31_746.jpg,бежит
img\3_23_713.jpg,я здесь
img\10_26_427.jpg,Акмолинская
img\12_14_133.jpg,Каждыгаш
img\7_46_811.jpg,крылья
img\8_39_488.jpg,в свои сны
img\5_5_328.jpg,Путь указуя
img\4_20_294.jpg,"И, докучных"
img\9_0_878.jpg,снуют пунцовые
img\10_16_210.jpg,Тараз
img\11_41_34.jpg,Актобе
img\2_19_135.jpg,"Умерших, но"
img\10_7_6.jpg,Актау
img\9_42_539.jpg,за телегой.
img\0_2_14.jpg,Нам это
img\8_36_519.jpg,"сызкова входит в моду,"
img\0_9_618.jpg,Кем? Кем? Волом?
img\10_11_236.jpg,костакает
img\10_40_39.jpg,Усть-Каменогорск
img\2_38_124.jpg,теплои
img\5_5_355.jpg,Путь указуя
img\13_19_201.jpg,Аксу
img\9_21_577.jpg,Ав
img\11_45_67.jpg,Аркалык
img\0_24_61.jpg,"Он был волчатник,"
img\7_16_464.jpg,все ж мучится к
img\10_1_304.jpg,Белоруссия
img\9_9_576.jpg,Вид постоялого
img\6_26_387.jpg,"о подвигах, о славе"
img\7_44_451.jpg,сознания бессилья
img\3_46_204.jpg,волны морей
img\3_50_191.jpg,душой...
img\4_34_749.jpg,родное
img\0_38_59.jpg,неподатливую мать
img\1_24_91.jpg,И красивому
img\5_8_353.jpg,Где танк
img\10_31_344.jpg,Карагандинская
img\11_32_47.jpg,Кызылординская
img\6_34_415.jpg,проклятым роем..
img\10_5_178.jpg,Астана
img\12_28_102.jpg,Лисаковск
img\10_14_251.jpg,Петропавловск
img\2_24_674.jpg,"Его живит,"
img\10_26_80.jpg,Акмолинская
img\4_37_738.jpg,на черной хоть
img\7_49_471.jpg,природы и искусства
img\7_28_422.jpg,"для нас садится,"
img\10_9_189_.jpg,Атырау
img\8_10_498.jpg,надевал на себя что
img\10_7_394.jpg,Актау
img\12_30_88.jpg,Мамлютка
img\12_29_102.jpg,Макинск
img\6_44_401.jpg,"нежная, нашла."
img\9_2_551.jpg,Колхозницы
img\6_17_789.jpg,"Не знаю, где приют"
img\1_3_660.jpg,влюблен
img\3_38_213.jpg,"пыль с ных крылом,"
