image,prediction
images_group_62_9074_3718.png,вго
images_group_62_9074_3719.png,Имыприпорскому
images_group_62_9074_3720.png,Роличеству.
images_group_62_9074_3721.png,внисейского
images_group_62_9074_3722.png,буверпангора
images_group_62_9074_3723.png,Голнороть
images_group_62_9074_3724.png,Веспойданный
images_group_62_9074_3725.png,депося
images_group_62_9074_3726.png,Вашему
images_group_62_9074_3727.png,Имные
images_group_62_9074_3728.png,рапгорскому
images_group_62_9074_3729.png,Великству
images_group_62_9074_3730.png,что
images_group_62_9074_3731.png,во
images_group_62_9074_3733.png,ренный
images_group_62_9074_3734.png,управленно
images_group_62_9074_3735.png,моему
images_group_62_9074_3736.png,гуверние
images_group_62_9074_3737.png,все
images_group_62_9074_3738.png,состоний
images_group_62_9074_3739.png,благопоспрыю
images_group_62_9074_3741.png,на
images_group_62_9074_3742.png,Высочаний
images_group_62_9074_3743.png,усмотрый
images_group_62_9074_3744.png,Ваше
images_group_62_9074_3745.png,годовой
images_group_62_9074_3746.png,отчеть
images_group_62_9074_3747.png,о
images_group_62_9074_3748.png,состояние
images_group_62_9074_3749.png,гуверный
images_group_62_9074_3750.png,за
images_group_62_9074_3751.png,1889
images_group_62_9074_3752.png,жё
images_group_62_9074_3753.png,Поджасаль
images_group_62_9074_3754.png,Губержатьсть
images_group_62_9074_3755.png,бежержны
images_group_62_9074_3756.png,Леймениями
images_group_62_9074_3759.png,бо
images_group_62_9074_3760.png,для
images_group_62_9074_3761.png,1884 года)
images_group_62_9074_3762.png,Г.2016
images_group_62_9074_3763.png,Праспляровов
images_group_62_909_5796.png,Напличаль
images_group_62_909_5797.png,сей
images_group_62_909_5798.png,сослючить
images_group_62_909_5799.png,вго
images_group_62_909_5800.png,распо-
images_group_62_909_5801.png,ряжений
images_group_62_909_5802.png,Енисейскаго
images_group_62_909_5803.png,Бубернскаго
images_group_62_909_5804.png,Грель-
images_group_62_909_5805.png,ления
images_group_62_909_5806.png,гичислится
images_group_62_909_5807.png,по
images_group_62_909_5808.png,счетамь
images_group_62_909_5809.png,Назнай
images_group_62_909_5810.png,чейство
images_group_62_909_5811.png,во
images_group_62_909_5812.png,партикулярных
images_group_62_909_5813.png,сгримач
images_group_62_909_5814.png,Еего
images_group_62_909_5815.png,грередения
images_group_62_909_5816.png,Военный
images_group_62_909_5817.png,Прернаторь и.
images_group_62_909_5818.png,Красноярска
images_group_62_909_5819.png,гл
images_group_62_909_5820.png,Енгиселский
images_group_62_909_5821.png,Гражданский
images_group_62_909_5822.png,Брбернаторь
images_group_62_909_5823.png,Генераль-
images_group_62_909_5824.png,Ислоры
images_group_62_909_5825.png,Вльдомость
images_group_62_909_5826.png,О приядь
images_group_62_909_5827.png,расчодно
images_group_62_909_5828.png,И
images_group_62_909_5829.png,остаткть
images_group_62_909_5830.png,сусилить
images_group_62_909_5831.png,по
images_group_62_909_5832.png,Красномрскому
images_group_62_909_5833.png,Пубержкому
images_group_62_909_5834.png,тхоремному
images_group_62_909_5835.png,Комитету
images_group_62_909_5836.png,пл
images_group_62_909_5837.png,ций спраскисль
images_group_62_909_5838.png,отдычениямь
images_group_62_909_5839.png,За 1816 год
images_group_62_909_5840.png,1)1
images_group_62_909_5842.png,Стать
images_group_62_909_5845.png,Чинованска
images_group_62_909_5846.png,Особыр
images_group_62_909_5847.png,Пиручтий
images_group_62_9096_6755.png,Хотя
images_group_62_9096_6756.png,уромени
images_group_62_9096_6757.png,Аствых
images_group_62_9096_6758.png,окавался
images_group_62_9096_6759.png,поздо-
images_group_62_9096_6760.png,влетворитель
images_group_62_9096_6761.png,нислеч
images_group_62_9096_6762.png,ны
images_group_62_9096_6763.png,затризвение
images_group_62_9096_6765.png,для
images_group_62_9096_6766.png,обозныется
images_group_62_9096_6767.png,Преничай
images_group_62_9096_6768.png,продывальствлинся
images_group_62_9096_6769.png,ил.
images_group_62_9096_6770.png,стисмения
images_group_62_9096_6771.png,напость
images_group_62_9096_6772.png,вг
images_group_62_9096_6773.png,11х
images_group_62_9096_6774.png,будение
images_group_62_9096_6775.png,нето-
images_group_62_9096_6776.png,слу
images_group_62_9096_6777.png,что
images_group_62_9096_6778.png,у
images_group_62_9096_6779.png,синочный
images_group_62_9096_6780.png,обывателий
images_group_62_9096_6781.png,вк
images_group_62_9096_6782.png,осовен-
images_group_62_9096_6783.png,ностий
images_group_62_9096_6784.png,6г
images_group_62_9096_6786.png,"Овредный,"
images_group_62_9096_6788.png,достммочныя
images_group_62_9096_6789.png,запасы
images_group_62_9096_6790.png,звыйба
images_group_62_9096_6791.png,ств
images_group_62_9096_6793.png,низво
images_group_62_9096_6795.png,выли
images_group_62_9096_6796.png,ел.
images_group_62_9096_6797.png,нанияг
images_group_62_9096_6798.png,прево
images_group_62_9096_6800.png,нактярь
images_group_62_9096_6803.png,недначический
images_group_62_9096_6804.png,недостатове
images_group_62_9096_6805.png,въ.
images_group_62_9096_6807.png,ило
images_group_62_9096_6808.png,мумеды
images_group_62_9096_6809.png,свои
