image,prediction
0_4.png,40
0_0.png,Сооими
0_1.png,Он
0_9.png,Жо
0_3.png,ччииии
0_5.png,!
0_12.png,Фомхи ,
0_15.png,Цьм
0_16.png,АиС -
0_10.png,Эимо
0_11.png,ииим
0_2.png,МО ,
0_14.png,АЦ~
0_6.png,(=Чдаимлиия
0_8.png,мо ,
0_7.png,см 
0_18.png,ч
0_19.png,Колс -
0_17.png,Юааим ,
0_13.png,И^аицмхй
0_27.png,Эио
0_28.png,ИмиоАи
0_22.png,#ум
0_20.png,О
0_24.png,+ оащемамах '
0_26.png,мма Ыаиш4сс
0_32.png,0
0_25.png,Змакма "
0_31.png,0
0_21.png,э&
0_36.png,щмкм
0_39.png,юм4-
0_35.png,( .
0_30.png,Ио(
0_37.png,киу
0_38.png,И
0_23.png,о40
0_33.png,И^С -
0_29.png,сомичя
0_34.png,УКаудыиарми
0_40.png,нО
0_42.png,лоо
0_41.png,ФДа -
0_44.png,<+яиимся
0_43.png,иоомд ,
0_57.png,Эмо
0_56.png,Яим
0_46.png,кми2
0_45.png,ччи
0_48.png,(ию,
0_49.png,'^а
0_59.png,Уим
0_53.png,10
0_52.png,и&~ФА
0_54.png,и1
0_47.png,к
0_51.png,фчиихим %0
0_50.png,к ^
0_60.png,мхИм
0_58.png,мхихщхи ,
0_62.png,м о(
0_55.png,щ-а.2
0_65.png,0
0_61.png,^м-
0_66.png,^уоо(
0_64.png,Ммичим .
0_72.png,8
0_63.png,^аимци
0_67.png,Иомнию ,
0_68.png,киоцч
0_82.png,в0
0_81.png,иа ,
0_69.png,4 оиииаацаиС  ,
0_71.png,дуылфим
0_80.png,^пО
0_79.png,^кичм
0_77.png,иаикими
0_75.png,к 9(
0_85.png,сг^аи^,
0_73.png,шкич "
0_78.png,омаихаем^
0_76.png,%и1
0_70.png,ЦАМииоом
0_74.png,4 4римишимо,
0_84.png,с
0_87.png,коши
0_86.png,ииим
0_88.png,иоии
0_83.png,си6и -
0_90.png,Ио
0_89.png,Цч-
0_98.png,сооеашшииио
0_96.png,саа4и
0_92.png,1~0
0_102.png,Гимим
0_103.png,Хдимх
