"image","prediction"
"0_4.png","за"
"0_0.png","Своими"
"0_1.png","он"
"0_9.png","что"
"0_3.png","учителю"
"0_5.png","исполнен"
"0_12.png","автор,"
"0_15.png","пли"
"0_16.png","гро-"
"0_10.png","это"
"0_11.png","пишет"
"0_2.png","то,"
"0_14.png","зня"
"0_6.png","уважения,"
"0_8.png","того,"
"0_7.png","сатели"
"0_18.png","сели"
"0_19.png","кого"
"0_17.png","кричал,"
"0_13.png","родителей"
"0_27.png","этого"
"0_28.png","строгость."
"0_22.png","был"
"0_20.png","он"
"0_24.png","о ружим"
"0_26.png","справедливость."
"0_32.png","Ф"
"0_25.png","Таракла!"
"0_31.png","о"
"0_21.png","на"
"0_36.png","держал"
"0_39.png","власт"
"0_35.png","смех."
"0_30.png","на"
"0_37.png","класс"
"0_38.png","и"
"0_23.png","его"
"0_33.png","рас-"
"0_29.png","смотря."
"0_34.png","сказывает"
"0_40.png","но"
"0_42.png","Маленького"
"0_41.png","Акку —"
"0_44.png","выделяются"
"0_43.png","роста,"
"0_57.png","это"
"0_56.png","думаю,"
"0_46.png","некоторые"
"0_45.png","среди"
"0_48.png","счастью,"
"0_49.png","ученикам"
"0_59.png","были"
"0_53.png","не"
"0_52.png","педалогов."
"0_54.png","только"
"0_47.png","к"
"0_51.png","Большинство"
"0_50.png","ка-"
"0_60.png","людьми"
"0_58.png","слабохазгахтерными,"
"0_62.png",", все"
"0_55.png","утверждение"
"0_65.png","до"
"0_61.png","что"
"0_66.png","чтобы"
"0_64.png","телям."
"0_72.png","4"
"0_63.png","Искандер"
"0_67.png","помню,"
"0_68.png","нибудь"
"0_82.png","со"
"0_81.png","тему"
"0_69.png","заниматься,"
"0_71.png","вызвать."
"0_80.png","что"
"0_79.png","Искандер"
"0_77.png","учитель"
"0_75.png","ря"
"0_85.png","осазнать."
"0_73.png","школу!"""
"0_78.png","благодарен,"
"0_76.png","был"
"0_70.png","уговаривал"
"0_74.png","доказательство"
"0_84.png","смехай"
"0_87.png","колі"
"0_86.png","имеют"
"0_88.png","помог"
"0_83.png","относи-"
"0_90.png","но"
"0_89.png","уш-"
"0_98.png","совершинно."
"0_96.png","характер"
"0_92.png","не"
"0_102.png","Разиля"
"0_103.png","Абдуловича"
"0_99.png","не"
"0_91.png","хуже"
"0_101.png","И"
"0_106.png","Григорьевича"
"0_104.png","Тринадцатый"
"0_100.png","Распутина"
"0_93.png","85"
"0_97.png","и"
"0_94.png","Распутина"
"0_109.png","довольно"
"0_95.png","ситуащия,"
"0_105.png","подвиг"
"0_108.png","выразить,"
"0_107.png","хотят"
"0_110.png","рассказами,"
"0_111.png","именно"
"0_113.png","Харлампий"
"0_120.png","общую"
"0_121.png","Искандера"
"0_122.png","Длогенович"
"0_112.png","тщательно"
"0_126.png","однако"
"0_127.png","бояться"
"0_128.png","Уроки"
"0_117.png","личности"
"0_114.png","не"
"0_116.png","в"
"0_118.png","приучал"
"0_115.png","ратно-"
"0_123.png","учительницы,"
"0_129.png","француцкого"
"0_125.png","другая,"
"0_135.png","очень"
"0_131.png","этого»."
"0_130.png","описывается"
"0_132.png","рассказе"
"0_134.png","совсем"
"0_136.png","но,"
"0_137.png","бояться"
"0_139.png","смешным"
"0_133.png","куда"
"0_138.png","выглядеть"
"0_146.png","ться"
"0_145.png","персоне."
"0_143.png","Харлампий"
"0_140.png","нам"
"0_141.png","что"
"0_150.png","В"
"0_151.png","благодарность."
"0_142.png","„ слыш-"
"0_147.png","к"
"0_153.png","пи —"
"0_154.png","тики…"
"0_148.png","учеников"
"0_155.png","Матема"
"0_144.png","собственной"
"0_152.png","считал"
"0_149.png","учи-"
"0_156.png","нерагиливыми,"
"0_158.png","гениальными»."
"0_163.png","Но"
"0_160.png","Математикам"
"0_157.png","Я"
"0_162.png","жутся"
"0_171.png","спокойно"
"0_165.png","учителя"
"0_159.png","относится"
"0_166.png","И"
"0_161.png","к"
"0_164.png","такими."
"0_174.png","Искандер"
"0_170.png","выбритый,"
"0_176.png","Длагенович"
"0_167.png","к Большеголовый,"
"0_175.png","Не"
"0_169.png","он"
"0_168.png","других."
"0_173.png","в"
"0_172.png","руках –"
"0_179.png","главным"
"0_177.png","и"
"0_182.png","ученика."
"0_185.png","Образ"
"0_178.png","одетый"
"0_190.png","Фактически"
"0_183.png","ор,"
"0_180.png","учителя,"
"0_181.png","к"
"0_188.png","45"
"0_189.png","С"
"0_187.png","Россий"
"0_184.png","литературы"
"0_196.png","своей"
"0_195.png","блохи,"
"0_191.png","счастливилось,"
"0_186.png","двух,"
"0_199.png","учителя"
"0_194.png","ради"
"0_193.png","дляя"
"0_192.png","жил"
"0_200.png","в"
"0_197.png","Родины"
"0_201.png","Ф."
"0_202.png","Недавно"
"0_198.png","Сочинение"
"0_207.png","для"
"0_206.png","стальной"
"0_205.png","уроке."
"0_203.png","В"
"0_204.png","произведениях"
"0_210.png","И"
"0_209.png","Второк."
"0_211.png","на"
"0_214.png","писателей."
"0_212.png","по-"
"0_208.png","Запреля"
"0_221.png","современных"
"0_213.png","рассказами,"
"0_215.png","Валентина"
"0_217.png","Распутина"
"0_219.png","Прочитанные"
"0_216.png","по одновы."
"0_218.png","французского!"
"0_220.png","мне"
"0_224.png","познакомиться"
"0_222.png","мной."
"0_223.png","Уроки"
"1_226.png","пот."
"1_227.png","совсем"
"1_231.png","класс"
"1_228.png","Ведь"
"1_232.png","в"
"0_225.png","Искандера"
"1_229.png","Но"
"1_234.png","пре-"
"1_230.png","кри-"
"1_233.png","разный"
"1_242.png","С"
"1_240.png","уметь."
"1_238.png","всех"
"1_241.png","доброй."
"1_239.png","но"
"1_237.png","характер"
"1_246.png","не"
"1_236.png","Они,"
"1_243.png","Конечно-"
"1_235.png","этом"
"1_247.png","чать"
"1_245.png","обязательно"
"1_244.png","умел —"
"1_252.png","смеяться."
"1_248.png","успокоить."
"1_251.png","держать."
"1_261.png","воспитания,"
"1_250.png","лишь"
"1_265.png","в"
"1_253.png","своя,"
"1_249.png","их"
"1_260.png","И"
"1_256.png","на"
"1_258.png","все"
"1_262.png","Нухо"
"1_255.png","91"
"1_257.png","лесть."
"1_254.png","И"
"1_259.png","борганизованным-"
"1_266.png","И"
"1_268.png","есть"
"1_263.png","у"
"1_269.png","учеников,"
"1_264.png","руках"
"1_271.png","быть"
"1_267.png","чтобы"
"1_273.png","голос."
"1_270.png","индивидцальны,"
"1_278.png","И"
"1_277.png","полезную"
"1_272.png","методы"
"1_279.png","привычку:"
"1_275.png","учителей"
"1_284.png","этим"
"1_281.png","к"
"1_283.png","редко"
"1_274.png","душой…"
"1_282.png","спокойная,"
"1_276.png","тактя"
"1_280.png","Михайловна"
"1_286.png","с"
"1_291.png","сложной"
"1_285.png","строгим,"
"1_289.png","но"
"1_287.png","Именно"
"1_290.png","По"
"1_288.png","благодарностья."
"1_293.png","главного"
"1_304.png","то,"
"1_292.png","высокий"
"1_298.png","моему"
"1_297.png","душа…"
"1_294.png","его"
"1_296.png","любовь"
"1_299.png","поняла"
"1_295.png","это"
"1_301.png","людей"
"1_307.png","общения"
"1_300.png","Длогеновича"
"1_303.png","сердца,"
"1_305.png","что"
"1_306.png","состояний"
"1_302.png","учителя"
"1_309.png","пытаясь"
"1_313.png","Каралина"
"1_310.png","Но"
"1_311.png","ему"
"1_308.png","очень"
"1_312.png","зовут"
"1_315.png","настойчивы."
"1_317.png","она"
"1_316.png","манера"
"1_314.png","что"
"1_319.png","образал"
"1_318.png","сдержан-"
"1_322.png","выделить"
"1_326.png","одного"
"1_320.png","теля"
"1_328.png","учи-"
"1_321.png","бы"
"1_323.png","был"
"1_324.png","хотела"
"1_325.png","мальчика"
"1_329.png","жий"
"1_334.png","уроком"
"1_335.png","Ел"
"1_327.png","каждого"
"1_331.png","Именно"
"1_333.png","среди,"
"1_332.png","ти"
"1_330.png","голос"
"1_340.png","методы."
"1_341.png","мнению,"
"1_338.png","свой"
"1_342.png","востита"
