image,prediction
img\6_28_409.jpg,в простой оправе
img\11_29_40.jpg,Иверо-Карахетанская
img\6_5_412.jpg,Я бличия и клонь
img\9_2_577.jpg,Колходникм
img\6_49_385.jpg,молдей прошка.
img\3_6_720.jpg,"Гдя в замке пустом,"
img\6_51_383.jpg,я со стола
img\10_12_343.jpg,Киэплорда
img\0_39_11.jpg,позабыли
img\9_24_569.jpg,"Отять, как"
img\4_37_733.jpg,"ни черной хаты,"
img\2_28_684.jpg,не лищеморить
img\5_39_325.jpg,исколеченные рупи
img\10_21_453.jpg,Россия
img\2_29_172.jpg,клятвой обещал
img\8_23_847.jpg,Но пока мне рот
img\10_14_281.jpg,Петропавловск
img\3_51_719.jpg,не ворон степной
img\1_13_658.jpg,"Он,"
img\13_17_193.jpg,Новодолинскии
img\10_18_0.jpg,Гуркестан
img\9_41_535.jpg,переночевая
img\10_2_383.jpg,Кирчизмя
img\7_45_422.jpg,погул ня плечах
img\9_8_880.jpg,Стог принимает
img\10_7_447.jpg,Актау
img\12_47_136.jpg,Погусторгом
img\5_1_318.jpg,Жестокой
img\0_21_60.jpg,Дреп алипи
img\5_44_318.jpg,моя
img\10_26_127.jpg,Асмашиская
img\0_20_100.jpg,Не вместь.
img\3_21_186.jpg,Последний потомок
img\9_48_553.jpg,высл
img\10_41_356.jpg,Пожно- Казахстанская
img\10_14_472.jpg,Пегропавловск
img\8_33_478.jpg,что меня вскормила
img\6_8_794.jpg,"Гетели дни, крутясь"
img\10_9_320.jpg,Атырау
img\10_39_88.jpg,Туркестамская
img\8_1_498.jpg,вытеигал свой
img\3_4_203.jpg,"Ил запад, на зотод"
img\13_38_157.jpg,Индерборский
img\4_48_291.jpg,"триь мом скучен,"
img\0_47_15.jpg,будут истить
img\5_31_773_.jpg,"моряку, чт."
img\10_13_381.jpg,Повлодар
img\13_6_167.jpg,Хрошетац
img\2_5_139.jpg,людей коварны
img\10_12_326.jpg,Кызылора
img\10_4_136.jpg,Узбекистан
img\10_27_376.jpg,Алматинская
img\3_47_208.jpg,отважных бойщов
img\10_21_389.jpg,Россия
img\10_12_338.jpg,Кызылорда
img\11_37_20.jpg,Акколь
img\0_6_6.jpg,Откинув лалы
img\10_20_110.jpg,молупент
img\8_45_516_.jpg,Теперь мне сорок
img\10_7_339.jpg,Актац
img\10_25_134.jpg,Мо лдовия
img\10_36_198.jpg,Восточно Казахстанская
img\1_38_221.jpg,обнимает
img\10_37_448.jpg,жамбыльская
img\10_5_113.jpg,Астана
img\4_15_263.jpg,Завтря к мимой
img\1_8_122.jpg,стыда
img\10_25_184.jpg,Молдавия
img\10_22_95.jpg,Украина
img\10_24_67.jpg,Южная Осетия
img\10_20_136.jpg,МИ
img\0_32_22.jpg,и оскалив пасть
img\7_3_431.jpg,И женицины
img\12_51_112.jpg,Темиртод
img\0_32_43_.jpg,и оскалио пасть
img\10_7_203.jpg,Актау
img\10_2_159.jpg,Киргизия
img\8_50_517.jpg,раздаваться
img\2_36_133.jpg,Не названье
img\11_43_65.jpg,Алмать)
img\9_15_877.jpg,"Зарывшись,"
img\9_3_551.jpg,Проходят с
img\5_20_320.jpg,В сокровищнице
img\0_34_27.jpg,"густоя, словно грязь"
img\11_20_24_.jpg,Атпрауская
img\9_39_554.jpg,"как сеновал,"
img\13_1_167.jpg,Уральск
img\6_5_796.jpg,я бросил в ночь
img\1_30_658.jpg,добежит.
img\8_43_514.jpg,связколе
img\13_22_150.jpg,Атац
img\10_2_279.jpg,киргизия
img\8_20_514.jpg,Стоскороть ниль
img\8_26_503.jpg,"дикого зверя в клетку,"
img\6_26_383.jpg,"о глодвигах, о славе"
img\11_38_37.jpg,Ансай
img\5_41_341.jpg,"ныло эт пачленки,"
img\5_40_347.jpg,"земнеет ель,"
img\3_5_719.jpg,Где суветут моих
img\9_28_529.jpg,"смеются С возу,"
img\9_27_537.jpg,"во все концы,"
img\3_33_214.jpg,покомтся прах.
img\10_39_313_.jpg,Туркенстанская
img\8_47_473.jpg,длинной.
img\6_37_389.jpg,тебя
img\7_11_439.jpg,И мы ломаем руки
img\8_2_513.jpg,и сликуху воздем
img\2_20_163.jpg,"И тени чувств,"
img\4_5_724.jpg,Трайка борзая
img\8_30_844.jpg,с ким во дыракя
img\4_11_727.jpg,"Ни огия,"
img\10_26_166.jpg,Аклюлинская
img\13_19_182.jpg,Аксу
img\10_38_153.jpg,Западпо-Казасатанскал
img\10_5_354.jpg,Астана
img\3_42_220.jpg,смолпнул бы он
img\9_3_563.jpg,Пронозят
img\6_30_377.jpg,и ты ушла из дому
img\7_4_442.jpg,Сперва измучившись
img\11_40_45.jpg,Актау
img\10_31_356.jpg,Карагандинская
img\4_31_734.jpg,Зежит
img\10_35_377.jpg,Северо- Казахстанская
img\3_22_205.jpg,Увядяет средь
img\4_29_746.jpg,свет оня.
img\1_17_96.jpg,Плом плики
img\10_16_356.jpg,Тараз
img\12_13_118.jpg,Казалинск
img\1_7_67.jpg,Голос
img\0_5_13.jpg,Она лежала в
img\9_27_878.jpg,"во все концы,"
img\13_15_156.jpg,Экибастуз
img\10_8_74.jpg,Актобе
img\8_45_509.jpg,Теперь мне сорок
img\10_12_458.jpg,Вызыпорда
img\10_36_338.jpg,ВаточноКазахстанская
img\10_31_106.jpg,Карагандинская
img\11_51_19.jpg,Фулаево
img\8_41_508.jpg,изгнанья
img\1_18_68.jpg,провь
img\4_45_257.jpg,"свой совершит,"
img\3_27_233.jpg,сейчал наро мнач
img\13_10_157.jpg,Шахтинск
img\5_40_330.jpg,"зеленеет ель,"
img\10_11_274.jpg,Костанай
img\4_24_259.jpg,Комонольчик
img\10_23_435.jpg,Абхазия
img\6_14_374.jpg,"Я слезы лит,"
img\3_48_242.jpg,гуждых снегов
img\0_0_627.jpg,Шёл человек
img\11_18_58_.jpg,поселок
img\7_23_817.jpg,Под скальнелем
img\3_34_715.jpg,ия ислязственной ий
img\7_11_444.jpg,"И мог ломоем руки,"
img\10_5_347.jpg,Астана
img\13_26_173.jpg,Белколь
img\10_8_437.jpg,Актобе
img\3_16_208.jpg,"Как раздался, так"
img\10_4_472.jpg,Узбекистан
img\12_42_125.jpg,Серебрянск
img\9_45_556.jpg,ночлего
img\10_13_263.jpg,Павлонар
img\10_1_289.jpg,Белоруссия
img\1_5_659.jpg,"я моблю плебя,"
img\12_16_134.jpg,Карагапра
img\0_10_62.jpg,Сиепым волчатам
img\2_29_692.jpg,клятвой обещал
img\2_31_151.jpg,"не всечдо,"
img\4_18_735.jpg,звучно стрелка
img\10_13_29.jpg,Повладар
img\12_10_105.jpg,Шипшкара
img\9_5_567.jpg,Гребут и
img\7_2_449.jpg,что в печь
img\6_19_401.jpg,я крепко
img\1_39_70.jpg,отять
img\2_8_689.jpg,что время лечит
img\10_35_121.jpg,Себерно Мозахачанская
img\10_5_419.jpg,Астини
img\1_40_99.jpg,джинит
img\4_13_726.jpg,Только версты полосат
img\10_9_66.jpg,Атырогу
img\10_23_105.jpg,Лбхазия
img\8_6_501.jpg,"трижды тонул,"
img\10_32_187.jpg,Костанайская
img\9_22_857.jpg,вновь Синелот
img\10_9_103.jpg,Атограу
img\10_0_98.jpg,Казахстан
img\8_35_523.jpg,"помнещих вопли гунна,"
img\3_15_187.jpg,"В нишаем одним,"
img\8_7_482.jpg,"Бросил страну,"
img\6_42_406.jpg,ты из дому ушла
img\0_39_22.jpg,"позабыли,"
img\5_15_307.jpg,"И там, где сердце"
img\3_24_216.jpg,по незделинии
img\5_10_753.jpg,Где выл пожар
img\11_27_47.jpg,Западно- Назахстанская
img\10_14_67.jpg,Петропавловск
img\6_9_380.jpg,Вмо и страсть
img\5_46_324.jpg,помяти народной
