image,prediction
images_group_62_9074_3718.png,в го
images_group_62_9074_3719.png,Илигераторскому
images_group_62_9074_3720.png,Феличестру.
images_group_62_9074_3721.png,внученнского
images_group_62_9074_3722.png,будерпатора!
images_group_62_9074_3723.png,Запортъ.
images_group_62_9074_3724.png,единогданный шас
images_group_62_9074_3725.png,долгося
images_group_62_9074_3726.png,свашему
images_group_62_9074_3727.png,Имело
images_group_62_9074_3728.png,ратгорскому
images_group_62_9074_3729.png,"Деличеству,"
images_group_62_9074_3730.png,что
images_group_62_9074_3731.png,в е
images_group_62_9074_3733.png,ренной
images_group_62_9074_3734.png,управлен'ию
images_group_62_9074_3735.png,сноему
images_group_62_9074_3736.png,губернию
images_group_62_9074_3737.png,все
images_group_62_9074_3738.png,состоялись
images_group_62_9074_3739.png,"благопослучно,"
images_group_62_9074_3741.png,на
images_group_62_9074_3742.png,Высоча́шие
images_group_62_9074_3743.png,демотрон'ие
images_group_62_9074_3744.png,Ваше
images_group_62_9074_3745.png,годовои
images_group_62_9074_3746.png,отчить
images_group_62_9074_3747.png,О
images_group_62_9074_3748.png,состоян'ие
images_group_62_9074_3749.png,губерн'ии
images_group_62_9074_3750.png,за
images_group_62_9074_3751.png,1883
images_group_62_9074_3752.png,2022
images_group_62_9074_3753.png,Подписаны
images_group_62_9074_3754.png,"Губернатора,"
images_group_62_9074_3755.png,Генераль
images_group_62_9074_3756.png,Леитеншита
images_group_62_9074_3759.png,Бв
images_group_62_9074_3760.png,2 длина
images_group_62_9074_3761.png,1884 года)
images_group_62_9074_3762.png,АЕСЕ
images_group_62_9074_3763.png,Красноярск
images_group_62_909_5796.png,Китипалъ
images_group_62_909_5797.png,сёи
images_group_62_909_5798.png,состоить
images_group_62_909_5799.png,въ
images_group_62_909_5800.png,распо-
images_group_62_909_5801.png,ряжении
images_group_62_909_5802.png,Енисейского
images_group_62_909_5803.png,Губ'ернского 1
images_group_62_909_5804.png,Грив-
images_group_62_909_5805.png,ления
images_group_62_909_5806.png,и числится
images_group_62_909_5807.png,го
images_group_62_909_5808.png,счетамъ
images_group_62_909_5809.png,Казна-
images_group_62_909_5810.png,чеисть
images_group_62_909_5811.png,въ
images_group_62_909_5812.png,партикулярных:
images_group_62_909_5813.png,сгримало
images_group_62_909_5814.png,сего
images_group_62_909_5815.png,учреждения
images_group_62_909_5816.png,Военный
images_group_62_909_5817.png,Губернаторъ г.
images_group_62_909_5818.png,Красноярска
images_group_62_909_5819.png,г
images_group_62_909_5820.png,Енисейский
images_group_62_909_5821.png,Гражданский
images_group_62_909_5822.png,Губернаторъ
images_group_62_909_5823.png,Генераль-
images_group_62_909_5824.png,Майоръ
images_group_62_909_5825.png,Вхвдомость
images_group_62_909_5826.png,"О приходъ,"
images_group_62_909_5827.png,расхо́дно
images_group_62_909_5828.png,гг
images_group_62_909_5829.png,остатку
images_group_62_909_5830.png,суммь
images_group_62_909_5831.png,по
images_group_62_909_5832.png,Красномрскому
images_group_62_909_5833.png,Губернскому
images_group_62_909_5834.png,тюремному
images_group_62_909_5835.png,Комитету
images_group_62_909_5836.png,И.
images_group_62_909_5837.png,АрмьеиМуческимъ
images_group_62_909_5838.png,отделениям:
images_group_62_909_5839.png,За 1866 годъ
images_group_62_909_5840.png,1 г.:
images_group_62_909_5842.png,Стать
images_group_62_909_5845.png,Миновникъ
images_group_62_909_5846.png,Особыр
images_group_62_909_5847.png,Поручит:
images_group_62_9096_6755.png,Хотя
images_group_62_9096_6756.png,урожай
images_group_62_9096_6757.png,железои
images_group_62_9096_6758.png,окабался
images_group_62_9096_6759.png,и будо-
images_group_62_9096_6760.png,влитворитель
images_group_62_9096_6761.png,"пись,"
images_group_62_9096_6762.png,2-го
images_group_62_9096_6763.png,затрудении
images_group_62_9096_6765.png,для
images_group_62_9096_6766.png,обезличенны
images_group_62_9096_6767.png,Нижний
images_group_62_9096_6768.png,гробовальств'иное
images_group_62_9096_6769.png,ТБЕ
images_group_62_9096_6770.png,степенна же
images_group_62_9096_6771.png,на ионо
images_group_62_9096_6772.png,в ле
images_group_62_9096_6773.png,2 1 5
images_group_62_9096_6774.png,д? удалось
images_group_62_9096_6775.png,его-его -
images_group_62_9096_6776.png,"секу,"
images_group_62_9096_6777.png,селью
images_group_62_9096_6778.png,гу
images_group_62_9096_6779.png,многие
images_group_62_9096_6780.png,"обывателей,"
images_group_62_9096_6781.png,вс е
images_group_62_9096_6782.png,освёи-
images_group_62_9096_6783.png,носили:
images_group_62_9096_6784.png,Бель
images_group_62_9096_6786.png,"оверучень,"
images_group_62_9096_6788.png,достаточных
images_group_62_9096_6789.png,запасы
images_group_62_9096_6790.png,желебога;
images_group_62_9096_6791.png,В како
images_group_62_9096_6793.png,низь
images_group_62_9096_6795.png,всеи
images_group_62_9096_6796.png,Бл
images_group_62_9096_6797.png,кончик
images_group_62_9096_6798.png,кла́б о
images_group_62_9096_6800.png,на которо
images_group_62_9096_6803.png,незначительный
images_group_62_9096_6804.png,недостатковое
images_group_62_9096_6805.png,вес
images_group_62_9096_6807.png,Кайк
images_group_62_9096_6808.png,пунчеты
images_group_62_9096_6809.png,свои)
images_group_62_9096_6810.png,деителей
images_group_62_9096_6811.png,смогут
images_group_62_9096_6812.png,удовлетворить
images_group_62_9096_6813.png,займом
images_group_62_9096_6814.png,мучь
images_group_62_9096_6815.png,запасные
images_group_62_9096_6816.png,сельских
images_group_62_9096_6817.png,экономическую
images_group_62_9096_6818.png,"сначальность,"
images_group_62_9096_6819.png,БДБ
images_group_62_9096_6820.png,поизнь
images_group_62_9096_6821.png,народится
images_group_62_9096_6822.png,на
images_group_62_9096_6823.png,лицо
images_group_62_9096_6824.png,озимало
images_group_62_9096_6825.png,П. А.
images_group_62_9096_6826.png,справаго
images_group_62_9096_6827.png,ушеба
images_group_62_9096_6828.png,0
images_group_62_9096_6829.png,264398 чел.
images_group_62_9096_6830.png,твертей;
images_group_62_9096_6831.png,Крымск
images_group_62_9096_6832.png,"его,"
images_group_62_9096_6833.png,занимаясь
images_group_62_9096_6834.png,зав что
images_group_62_9096_6835.png,"промышленностью,"
images_group_62_9096_6836.png,Кака
images_group_62_9096_6837.png,1970
images_group_62_9096_6838.png,извозьмич
images_group_62_9096_6839.png,кулических
images_group_62_9096_6840.png,"пловаровё,"
images_group_62_9096_6841.png,рыболовствому
images_group_62_9096_6842.png,КАТЕ
images_group_62_9096_6843.png,добычей
images_group_62_9096_6844.png,"звонучей,"
images_group_62_9096_6845.png,еге
images_group_62_9096_6846.png,смогуть
images_group_62_9096_6848.png,сети
images_group_62_9096_6849.png,себе 6
images_group_62_9096_6850.png,средства
images_group_62_9096_6851.png,Лень
images_group_62_9096_6853.png,хлобда
images_group_62_9096_6854.png,Л ве
images_group_62_9096_6855.png,зависимо
images_group_62_9096_6856.png,"кего,"
images_group_62_9096_6857.png,про́бовальств'е
images_group_62_9096_6859.png,влияетской
images_group_62_9096_6860.png,губерн'ии
images_group_62_9096_6861.png,обутчивается
images_group_62_9096_6863.png,дующими
images_group_62_9096_6864.png,продовольственными
images_group_62_9096_6866.png,палами:
images_group_62_9096_6867.png,"ОБА,"
images_group_62_9096_6868.png,губернским
images_group_62_9096_6869.png,- 250 ббб
images_group_62_9096_6870.png,ралу́бо
images_group_62_9096_6871.png,-2
images_group_62_9096_6873.png,находящиись
images_group_62_9096_6874.png,выдерждение
images_group_62_9096_6875.png,в л
images_group_62_9096_6876.png,Факударстрен
images_group_62_9096_6877.png,нашел
images_group_62_9096_6878.png,банков
images_group_62_9096_6879.png,продушенных
images_group_62_9096_6880.png,бумагары;
images_group_62_9096_6882.png,сказанскими
images_group_62_9096_6883.png,Нуруг
images_group_62_9096_6884.png,"12 вест,"
images_group_62_9096_6885.png,во
images_group_62_9096_6886.png,крестьян
images_group_62_9096_6887.png,"самого,"
images_group_62_9096_6888.png,Усть-
images_group_62_9096_6889.png,Мунгузского
images_group_62_910_7874.png,Ибрасходовано
images_group_62_910_7875.png,изъ
images_group_62_910_7876.png,сусилиъ
images_group_62_910_7877.png,Къ
images_group_62_910_7878.png,ршу
images_group_62_910_7879.png,по ступило
images_group_62_910_7880.png,сулить
images_group_62_910_7881.png,варя
images_group_62_910_7882.png,1861
images_group_62_910_7883.png,сыных
images_group_62_910_7884.png,Частнаись
images_group_62_910_7885.png,Итого
images_group_62_910_7886.png,ль
images_group_62_910_7887.png,Коленныйск
images_group_62_910_7888.png,Частникъ
images_group_62_910_7889.png,Итого
images_group_62_910_7890.png,Корму
images_group_62_910_7891.png,гнва
images_group_62_910_7892.png,раВыг
images_group_62_910_7893.png,благотворится
images_group_62_910_7894.png,благотвори
images_group_62_910_7895.png,скостатов
images_group_62_910_7896.png,ньих
images_group_62_910_7897.png,Око
images_group_62_910_7898.png,Осталось
images_group_62_910_7899.png,оставалось
images_group_62_910_7900.png,темные
images_group_62_910_7901.png,И
images_group_62_910_7902.png,ним
images_group_62_910_7903.png,налогических
images_group_62_910_7904.png,Экономических
images_group_62_910_7905.png,По
images_group_62_910_7906.png,Губернскому
images_group_62_910_7907.png,комитету -
images_group_62_910_7908.png,Улич
images_group_62_910_7909.png,Пускскимъ
images_group_62_910_7910.png,отделеньям;
images_group_62_910_7911.png,На
images_group_62_910_7912.png,капиталы
images_group_62_910_7913.png,Комитета
images_group_62_910_7914.png,обращающиеся
images_group_62_910_7915.png,въ
images_group_62_910_7916.png,кредитные
images_group_62_910_7917.png,становлениях
images_group_62_910_7918.png,въ
images_group_62_910_7919.png,количество
images_group_62_910_7920.png,М.173 р
images_group_62_910_7921.png,процентовъ
images_group_62_910_7922.png,не
images_group_62_910_7923.png,истребовано.
images_group_62_910_7924.png,Расходь
images_group_62_910_7925.png,Игъ
images_group_62_910_7926.png,собственных
images_group_62_910_7927.png,суммы
images_group_62_910_7928.png,Комитета
images_group_62_910_7929.png,и т джленги
images_group_62_910_7930.png,"простирался,"
images_group_62_910_7931.png,какъ
images_group_62_910_7932.png,значится
images_group_62_910_7933.png,выпис
images_group_62_910_7934.png,въ
images_group_62_910_7935.png,граф
images_group_62_910_7936.png,"в,"
images_group_62_910_7937.png,до
images_group_62_910_7938.png,211.75р.
images_group_62_910_7939.png,"7%к,"
images_group_62_910_7940.png,На
images_group_62_910_7941.png,слобующее
images_group_62_910_7942.png,предметы:
images_group_62_910_7943.png,Жалованье и
images_group_62_910_7944.png,пособие
images_group_62_910_7945.png,Смотрителямъ
images_group_62_910_7946.png,Священно
images_group_62_910_7948.png,"врачу,"
images_group_62_910_7949.png,"фильдшерамъ,"
images_group_62_910_7950.png,надзирателямъ
images_group_62_910_7951.png,содер-
images_group_62_910_7952.png,мание
images_group_62_910_7953.png,канцелярии
images_group_62_910_7954.png,гл
images_group_62_910_7955.png,прислуги-
images_group_62_910_7956.png,"Одессду,"
images_group_62_910_7957.png,быль с
images_group_62_910_7958.png,гг
images_group_62_910_7959.png,обувь
images_group_62_910_7960.png,Улучшение
images_group_62_910_7961.png,"тюремь,"
images_group_62_910_7962.png,построики
images_group_62_910_7963.png,"выжиль,"
images_group_62_910_7964.png,исправление
images_group_62_910_7965.png,"овремдении,"
images_group_62_910_7966.png,снабжение
images_group_62_910_7967.png,необходимоит
images_group_62_910_7968.png,вещами-
images_group_62_910_7969.png,Въ
images_group_62_910_7970.png,пособие
images_group_62_910_7971.png,на
images_group_62_910_7972.png,содержание
images_group_62_910_7973.png,больницъ
images_group_62_910_7974.png,плату
images_group_62_910_7975.png,"замедикагенты,"
images_group_62_910_7976.png,покупку
images_group_62_910_7977.png,комммиссар'иатских
images_group_62_910_7978.png,припасово-
images_group_62_910_7979.png,Улучшение
images_group_62_910_7980.png,арестантскои
images_group_62_910_7981.png,пищи
images_group_62_910_7982.png,понедостатку
images_group_62_910_7983.png,кормвойч
images_group_62_910_7984.png,"денег,"
images_group_62_910_7985.png,покупку
images_group_62_910_7986.png,мяса
images_group_62_910_7987.png,рыбы
images_group_62_910_7988.png,ипроч.-
images_group_62_910_7989.png,"Покупку,"
images_group_62_910_7990.png,рогатаго
images_group_62_910_7991.png,схота
images_group_62_910_7992.png,для
images_group_62_910_7993.png,"убоя,"
images_group_62_910_7994.png,мухи
images_group_62_910_7995.png,речеатом
images_group_62_910_7996.png,напродовольств'е
images_group_62_910_7997.png,арестантовъ
images_group_62_910_7998.png,Отсылку
images_group_62_910_7999.png,телеграмы
images_group_62_910_8000.png,Г. Б
images_group_62_910_8001.png,Министру
images_group_62_910_8002.png,Внутреннихъ
images_group_62_910_8003.png,Опл
images_group_62_910_8004.png,объ
images_group_62_910_8005.png,увестчении
images_group_62_910_8006.png,кормовыль
images_group_62_910_8007.png,арестантамъ.
images_group_62_910_8008.png,Военныи
images_group_62_910_8009.png,Губернаторъ с
images_group_62_910_8010.png,Красноярска
images_group_62_910_8011.png,и волс'иска
images_group_62_910_8012.png,Граждански
images_group_62_910_8013.png,"Губернаторче,"
images_group_62_910_8014.png,Генераль-е
images_group_62_910_8015.png,Магору
images_group_62_910_8016.png,Спариброчевыго
images_group_62_910_8019.png,Пручий с
images_group_62_910_8020.png,Чия Ру
images_group_62_9122_8934.png,Во
images_group_62_9122_8936.png,давакумеров
images_group_62_9122_8938.png,пятьд
images_group_62_9122_8939.png,иль
images_group_62_9122_8941.png,Вприм.д.
images_group_62_9122_8942.png,Секретар
images_group_62_908_15058.png,Оборо
images_group_62_908_15059.png,на
images_group_62_908_15060.png,народное продоволь-
images_group_62_908_15061.png,стые
images_group_62_908_15062.png,Къ 1 числу Января
images_group_62_908_15063.png,1866 года
images_group_62_908_15064.png,состоя-
images_group_62_908_15065.png,ло
images_group_62_908_15066.png,отаго
images_group_62_908_15067.png,капитала
images_group_62_908_15068.png,на лицо
images_group_62_908_15069.png,Въ недоимки
images_group_62_908_15070.png,на жителях-
images_group_62_908_15071.png,Въ долг
images_group_62_908_15072.png,ни хлюбномъ
images_group_62_908_15073.png,капитало
images_group_62_908_15074.png,Въ 1866 году
images_group_62_908_15075.png,слюдовало
images_group_62_908_15076.png,собрать
images_group_62_908_15077.png,Въ то число
images_group_62_908_15078.png,собрано
images_group_62_908_15079.png,съ жите
images_group_62_908_15080.png,леи:
images_group_62_908_15081.png,"О6 мыцань,"
images_group_62_908_15082.png,поселенцев
images_group_62_908_15083.png,и Инород-
images_group_62_908_15084.png,греч
images_group_62_908_15085.png,"по 5 копъекъ,"
images_group_62_908_15086.png,", а съ крестьянь"
images_group_62_908_15087.png,по́ 3 котьки
images_group_62_908_15088.png,Исключено
images_group_62_908_15089.png,за убылью
images_group_62_908_15090.png,огрич.
images_group_62_908_15091.png,Зачтено
images_group_62_908_15092.png,вступлышись
images_group_62_908_15093.png,в 1865 году
images_group_62_908_15094.png,въ счеть
images_group_62_908_15095.png,оклада 1866 года
images_group_62_908_15096.png,Поступило
images_group_62_908_15097.png,оъ счеть
images_group_62_908_15098.png,оклада 1867
images_group_62_908_15099.png,год
images_group_62_908_15100.png,За томо
images_group_62_908_15101.png,кг 1864 году
images_group_62_908_15102.png,осталось
images_group_62_908_15103.png,на лицо
images_group_62_908_15104.png,Ро недо́глысь
images_group_62_908_15105.png,на жителяхъ
images_group_62_908_15106.png,Въ долгу
images_group_62_908_15107.png,на хлюбномъ
images_group_62_908_15108.png,капита
images_group_62_908_15109.png,ль.
images_group_62_908_15110.png,Для построительних
images_group_62_908_15111.png,отъ
images_group_62_908_15112.png,по
images_group_62_908_15113.png,жара:
images_group_62_908_15114.png,Ко 1числу Января
images_group_62_908_15115.png,оставалось
images_group_62_908_15116.png,на лицо. -
images_group_62_908_15117.png,Въ. недо́имка
images_group_62_908_15118.png,на жителяхь -
images_group_62_908_15119.png,Въ 1866 году
images_group_62_908_15120.png,слюдовало
images_group_62_908_15121.png,собрать
images_group_62_908_15122.png,со включен'емъ
images_group_62_908_15123.png,причислен'я
images_group_62_908_15124.png,В то число
images_group_62_908_15125.png,собрано
images_group_62_908_15126.png,съ жить
images_group_62_908_15127.png,легё
images_group_62_908_15128.png,по 4 коптики:
images_group_62_908_15129.png,Исключено
images_group_62_908_15130.png,за гро́слью
images_group_62_908_15131.png,огрич
images_group_62_908_15132.png,зачтёно
images_group_62_908_15133.png,встрившись
images_group_62_908_15134.png,во 1865 году
images_group_62_908_15135.png,въ
images_group_62_908_15136.png,счёть
images_group_62_908_15137.png,окладного
images_group_62_908_15138.png,сбора 1866 года.
images_group_62_908_15139.png,Поступило
images_group_62_908_15140.png,въ счеть
images_group_62_908_15141.png,оклада 1860
images_group_62_908_15142.png,гра
images_group_62_908_15143.png,Употреблено
images_group_62_908_15144.png,въ расходь.
images_group_62_908_15145.png,Рытино
images_group_62_908_15146.png,разнымъ
images_group_62_908_15147.png,лицамъ
images_group_62_908_15148.png,-го-
images_group_62_908_15149.png,терпытимъ
images_group_62_908_15150.png,разорение
images_group_62_908_15151.png,отъ
images_group_62_908_15152.png,по-
images_group_62_908_15153.png,жара
images_group_62_908_15154.png,За тнымъ
images_group_62_908_15155.png,осталось
