image,prediction
test0.png,<8
test1.png,0имААо% 
test10.png,мое
test100.png,ОптичЕскоЕ
test1000.png,/ ки4<с4
test1001.png,г. Упьшь8
test1002.png,На  хесто
test1003.png,;1<7@#?4?
test1004.png,кеняе
test1005.png,0;=0024<<_2
test1006.png,$шо тчк
test1007.png,6.'0,?017- 
test1008.png,профое <е с/ок
test1009.png,которле с_
test101.png,Ииочс
test1010.png,от }<е_е4&<   5++&4
test1011.png,'-+7<#+.
test1012.png,Тросьз   пчзобле%ся
test1013.png,{ стуечич
test1014.png,5е. #. 2е24
test1015.png,а'8  обпегшю
test1016.png,е4ь_
test1017.png,а  т9к*е
test1018.png,коморе   Хллч
test1019.png,опчяш6 ?я
test102.png,ниса
test1020.png,- 699
test1021.png,Юаине  ь
test1023.png,Жсепокоуш
test1024.png,пложеиз
test1025.png,взсоч  >0
test1026.png,3ол& &_2е26
test1027.png,ъоитом7^ 9 ~Я
test1028.png,Аиься Сргее Дьля
test1029.png,_4.(0. ?012-.
test103.png,? 4^?^-5^-(444
test1030.png,Рачииею-
test1031.png,;0 ли 2%%т.
test1032.png,7 Смрт - 1отету:
test1033.png,жьемо8   шево _
test1034.png,-5^. 2?,.72#,.
test1035.png,рочдечея
test1036.png,)2. ;?. ?ее)
test1037.png,поееит   Фереге
test1039.png,13.03 . 100# >
test104.png,Лкчнест 5
test1040.png,по   еечеем
test1041.png,оеиие
test1042.png,ну62 2ее=
test1043.png,4&,0!.4980
test1044.png,нее7ет цне?
test1045.png,]010222е7{2е-2222-2<
test1046.png,1,  Огъеел
test1047.png,0*<е+#+0 =+-""#
test1048.png,их . екечеееле
test1049.png,о7еееее7еееше
test105.png,|4сАТ&АФНА Я
test1050.png,нълее
test1051.png,{ееев ,е
test1052.png,2.!/
test1053.png,7#22
test1054.png,_е_е00<10402
test1055.png,о8@
test1056.png,Ко8
test1057.png,н0я89 2016
test1058.png,в тте  5ъч о20
test1059.png,Вашк
test106.png,олихорши
test1060.png,О6р_ Юлскэго
test1061.png,25. 06,2005_
test1063.png,Догчшк Юш
test1064.png,94 04
test1065.png,544_2153
test1066.png,ов0_0-к^
test1067.png,/6 , 0& 2004_
test1068.png,г_фэв_
test1069.png,Яе 7н
test107.png,_и?ЕкториААФНОЕ
test1070.png,Шков& _ фаля
test1071.png,Песпэрм
test1072.png,445  ть(с9ч
test1073.png,т&вили яе?со
test1074.png,)р6се Ос е
test1075.png,иооорм
test1076.png,#ое8
test1077.png,6ре/-
test1078.png,ошрене&
