Final_Rank,Model,CER,WER,Accuracy,Average_Rank
1,trba_lite_g2,0.0986,0.2895,0.7187,1.0
2,dialecticstackmixDomino,0.0987,0.303,0.7071,2.0
3,dialecticDomino,0.1046,0.3169,0.6899,3.0
4,trocr_ru_1700s,0.1147,0.354,0.6655,4.3333
5,trba_base_g1,0.1113,0.359,0.6492,5.0
6,trba_lite_g1,0.1191,0.3617,0.6508,5.6667
7,trocr_ru_kazars24,0.1476,0.4427,0.5718,7.3333
8,trocr_ru_base_rxt,0.1563,0.458,0.608,7.6667
9,trocr_cyrillic_hw,0.3312,0.7123,0.3634,9.0
10,cyrillic_g1,1.0165,1.1507,0.0044,10.0
11,cyrillic_g2,1.0568,1.7248,0.0042,11.0
