"image","prediction"
"test0.png","ибо"
"test1.png","осталось"
"test10.png","посе,"
"test100.png","Оптическое"
"test1000.png","А класса."
"test1001.png","г. Ульяновск"
"test1002.png","На место"
"test1003.png","Петепер"
"test1004.png","назнячения"
"test1005.png","Отравление"
"test1006.png","было только"
"test1007.png","в.10. гон."
"test1008.png","просрочив все сроки."
"test1009.png","которые для"
"test101.png","тогда"
"test1010.png","отправления были"
"test1011.png","критичны."
"test1012.png","Просьба разобраться"
"test1013.png","в ситуацин,"
"test1014.png","Во.09. году,"
"test1015.png","дав обратную"
"test1016.png","связь,"
"test1017.png","А также"
"test1018.png","которые были,"
"test1019.png","оплачены за"
"test102.png","способ,"
"test1020.png","А классу"
"test1021.png","Данные по"
"test1023.png","Ксерокопия"
"test1024.png","приложит."
"test1025.png","водал оБа,"
"test1026.png","заявлению."
"test1027.png","Контакты для"
"test1028.png","Анна Сергеевия"
"test1029.png","7.10. год."
"test103.png","кучальник"
"test1030.png","Расписска"
"test1031.png","10 июна дочъ."
