image,prediction
test0.png,ибо
test1.png,осталось
test10.png,поле
test100.png,Оптическое
test1000.png,1 класса
test1001.png,г. Ульяновск
test1002.png,На место
test1003.png,паспорт
test1004.png,назначения
test1005.png,отправление
test1006.png,было только
test1007.png,6.10.2017г.
test1008.png,просрочив все сроки
test1009.png,которые для
test101.png,тогда
test1010.png,отправления были
test1011.png,критичны.
test1012.png,Просьба разобраться
test1013.png,в ситуации
test1014.png,30.08.2004
test1015.png,дов обратную
test1016.png,связь
test1017.png,а также
test1018.png,которые были
test1019.png,оплачены за
test102.png,способ
test1020.png,1 классу
test1021.png,Данные по
test1023.png,Ксерокопия
test1024.png,приложена
test1025.png,выдом обр
test1026.png,заявлению
test1027.png,Контакты для
test1028.png,Ания Сергеевич
test1029.png,7.10.2017г.
test103.png,куольник
test1030.png,Расписка
test1031.png,10 июня 2016г.
test1032.png,. Сомкт- нетербузы
test1033.png,Иванов гевол
test1034.png,15.02.1987г.
test1035.png,рождения
test1036.png,12.10.2005
test1037.png,распорт серея
test1039.png,18.03.2007г.
test104.png,Множество
test1040.png,по адресу
test1041.png,деньи
test1042.png,рублей
test1043.png,18.04.1980
test1044.png,"полнот серия,"
test1045.png,зареметривован
test1046.png,"г, Севоевак,"
test1047.png,дележную сумму
test1048.png,ул левина
test1049.png,"вышеуказаньную,"
test105.png,Касательная
test1050.png,рублей
test1051.png,Иванов М.И.
test1052.png,28.11.11
test1053.png,14 лег
test1054.png,Плоскотожи
test1055.png,обеих
test1056.png,Киров
test1057.png,ноября 2016
test1058.png,в размере 534 000
test1059.png,Васин
test106.png,Рассмотрим
test1060.png,ОВД Южного
test1061.png,25.06.2005
test1063.png,Логикин Юрий
test1064.png,9404
test1065.png,547815
test1066.png,ОВД р-на
test1067.png,16.08.2004г.
test1068.png,г. Киров
test1069.png,Тристы тридцать
test107.png,Диресториальное
test1070.png,Шкода Фабия
test1071.png,Паспорт
test1072.png,445 тысяч
test1073.png,Три тысячи девяться
test1074.png,Доверенность
test1075.png,паспорт
test1076.png,номер
test1077.png,выдан
test1078.png,отделением
test1079.png,по району
test108.png,Событие
test1080.png,рублей
test1081.png,Москве
test1082.png,код подразделения
test1083.png,проживаю
test1084.png,по адресу
test1085.png,квартира
test1086.png,доверяю получать
test1087.png,отправления
test1088.png,приходящие
test1089.png,на моё ммя
test109.png,любое
test1090.png,по адресу
test1091.png,в колестве задатна
test1092.png,г. Моства
test1093.png,"127 572,"
test1094.png,выдан
test1095.png,ОВД района
test1096.png,г. Москвы
test1097.png,под подразделения
test1098.png,проживающему
test1099.png,по адресу
test11.png,новое
test110.png,вопрос
test1100.png,20.01.2016.
test1101.png,30.09.2013
test1102.png,сентябрь
test1103.png,за автомобиль
test1104.png,12.09.2013
test1105.png,12.09.2013
test1106.png,12.09.2013г.
test1107.png,12.09.2013г.
test1108.png,30.09.2013г.
test1109.png,12.09.201
test111.png,Использование
test1110.png,За период практики
test1111.png,Савгенко И.А.
test1115.png,с составленным
test1116.png,планом
test1117.png,На основе
test1118.png,модели
test1119.png,процесса
test112.png,непустое
test1120.png,определены
test1121.png,существующие
test1122.png,и предлогиены
