image,prediction
images_group_62_9074_3718.png,(
images_group_62_9074_3719.png,)4+14/9а9"#рс*ое {
images_group_62_9074_3720.png,93ичч"*У-
images_group_62_9074_3721.png,Ё+исс:; ~/е474
images_group_62_9074_3722.png,~усст сиуя ёусо/
images_group_62_9074_3723.png,Ла#рэт9 %
images_group_62_9074_3724.png,#Эстэс'фчэтчлмчос ,
images_group_62_9074_3725.png,оенсс 
images_group_62_9074_3726.png,"4аъс"']
images_group_62_9074_3727.png,7461{;
images_group_62_9074_3728.png,[эи этэфрэ с48сжчч{
images_group_62_9074_3729.png,@{(++ч17ес46 +/
images_group_62_9074_3730.png,7};
images_group_62_9074_3731.png,47
images_group_62_9074_3733.png,Жчт
images_group_62_9074_3734.png,а0'р'ъе5сэ+;++
images_group_62_9074_3735.png,"407ч+4
images_group_62_9074_3736.png,'ч*ъэ++`
images_group_62_9074_3737.png,*гт /
images_group_62_9074_3738.png,7#стттьч,,
images_group_62_9074_3739.png,Зет6.4₽ /16 &н/*+++,
images_group_62_9074_3741.png,#ч 
images_group_62_9074_3742.png,5441{{*44444444*  ;
images_group_62_9074_3743.png,27*9ч1э197ё т + 
images_group_62_9074_3744.png,'им
images_group_62_9074_3745.png,7г9еёе#
images_group_62_9074_3746.png,226,;
images_group_62_9074_3747.png,5
images_group_62_9074_3748.png,~ь~жъж
images_group_62_9074_3749.png,'2 <{#+++
images_group_62_9074_3750.png,7&
images_group_62_9074_3751.png,746 3
images_group_62_9074_3752.png,7571
images_group_62_9074_3753.png,*Дж2,+,4. ,
images_group_62_9074_3754.png,'2'с*++~'""/*,
images_group_62_9074_3755.png,7,,4/5-+-
images_group_62_9074_3756.png,*1,#' +,+44~,,*,
images_group_62_9074_3759.png,87
images_group_62_9074_3760.png,44644+}
images_group_62_9074_3761.png,7804 д, >
images_group_62_9074_3762.png,( , 2,
images_group_62_9074_3763.png,{жят #    /ае {& >
images_group_62_909_5796.png,РУеъ-эъ %  /
images_group_62_909_5797.png,₽7 ,
images_group_62_909_5798.png,С0с4 17/2444 ?7/ 7
images_group_62_909_5799.png,~ю
images_group_62_909_5800.png,7 /с// 420 =
images_group_62_909_5801.png,7Ъ%ж/е7
images_group_62_909_5802.png,Сел о₽, %#% %67 60
images_group_62_909_5803.png,Оч Фтинстсоию 4
images_group_62_909_5804.png,7с 
images_group_62_909_5805.png,71741Х9/
images_group_62_909_5806.png,717  +сАЛ7? ,9 
images_group_62_909_5807.png,7е 0
images_group_62_909_5808.png,0/1е/ % Л
images_group_62_909_5809.png,468+,
images_group_62_909_5810.png,~е+"л э 6,
images_group_62_909_5811.png,(6
