image,prediction
images_group_62_9057_262.png,ОБЗОРБ
images_group_62_9057_263.png,КПИССКОНСКОЙ
images_group_62_9057_264.png,губерн'и
images_group_62_9057_265.png,ГПЗ
images_group_62_9057_266.png,1883
images_group_62_9057_267.png,ГОПГ.
images_group_62_9057_268.png,Мрагосложской
images_group_62_9057_270.png,последованием
images_group_62_9057_271.png,ОКАТОГОЗЕЛАКУК.
images_group_62_9057_272.png,Красноярснъ
images_group_62_9057_273.png,ГИМОГОГРАДЕК
images_group_62_9057_274.png,ГГБЕРМЕНИГО
images_group_62_9057_275.png,Проект
images_group_62_9057_276.png,1 8 8
images_group_62_9057_277.png,Т.
images_group_62_9072_3103.png,Костанагаш
images_group_62_9072_3104.png,работы
images_group_62_9072_3105.png,12.07.2022.
images_group_62_9072_3106.png,СССР
images_group_62_9072_3107.png,Изображения
images_group_62_9072_3109.png,СОПТЕРОКООНОКАОКА
images_group_62_9072_3110.png,МГИД
images_group_62_9072_3113.png,МГОКАРОКАТЕЛОНИЕСКАТОЕРОКГОГЕГК
images_group_62_9072_3114.png,Полношевое
images_group_62_9072_3115.png,Балаганская
images_group_62_9072_3117.png,Джонс
images_group_62_9072_3118.png,"грачей,"
images_group_62_9072_3119.png,ГАНИИМЕКА
images_group_62_9072_3120.png,ПАТО
images_group_62_9072_3122.png,шейхаловской
images_group_62_9072_3123.png,12.05.2
images_group_62_9072_3124.png,202260-866-066-0
images_group_62_9072_3125.png,КАТЕЛИМОКАТОКАТОКАКАКОКАТОКАКАК
images_group_62_9072_3126.png,Поч
images_group_62_9072_3128.png,после
images_group_62_9072_3129.png,СССР
images_group_62_9072_3131.png,работала
images_group_62_9072_3132.png,США
images_group_62_9072_3133.png,МГИДОНИЕКА
images_group_62_9072_3134.png,ПРОЗИСЗАЕТА
images_group_62_9072_3136.png,ОКАТОКАТО
images_group_62_9072_3137.png,песня
images_group_62_9072_3138.png,АО
images_group_62_9072_3139.png,ПВДКСК
images_group_62_9072_3140.png,КАТЕОЛЕКАНО
images_group_62_9072_3141.png,КПП
images_group_62_9072_3142.png,проекта
images_group_62_9072_3143.png,ПОЛОГОКА
images_group_62_9072_3144.png,ПКАТО
images_group_62_9072_3145.png,ПОСТО
images_group_62_9072_3146.png,забыло́было
images_group_62_9072_3147.png,ГАСТОГОКАССКО
images_group_62_9072_3148.png,ППО
images_group_62_9072_3149.png,г.
images_group_62_9072_3150.png,НКГОКА
images_group_62_9072_3151.png,ПОГО
images_group_62_9072_3152.png,ВКАТОГО
images_group_62_9072_3153.png,бастельных
images_group_62_9072_3154.png,заперта
images_group_62_9072_3155.png,2. 2.1
images_group_62_9072_3156.png,СПАО
images_group_62_9072_3157.png,гг.
images_group_62_9072_3158.png,проекта
images_group_62_9072_3159.png,Поль
images_group_62_9072_3162.png,работала
images_group_62_9072_3163.png,СССР
