image,prediction
train0.png,Разум
train1.png,И
train2.png,чувства
train3.png,Что
train4.png,же
train5.png,это
train6.png,такое
train7.png,Г
train8.png,это
train9.png,две
train10.png,важнейшие
train11.png,силы
train12.png,внутреннего
train13.png,мира
train14.png,человека
train15.png,которые
train16.png,нуждаются
train17.png,друг
train18.png,в
train19.png,друге.
train20.png,Душа
train21.png,человека
train22.png,очень
train23.png,сложна.
train24.png,Бывают
train25.png,"ситуации,"
train26.png,когда
train27.png,чувства
train28.png,Куря
train29.png,преобладают
train30.png,над
train31.png,разумал
train32.png,а
train33.png,иногда
train34.png,разум
train35.png,берет
train36.png,вверх
train37.png,мад
train38.png,чувствами
train39.png,Не
train40.png,зря
train41.png,Яюк
train42.png,де
train43.png,Клапье
train44.png,Вовенарг
train45.png,говорил:
train46.png,Разуму
train47.png,Ме
train48.png,постичь
train49.png,надобностей
train50.png,сердца?
train51.png,Ведь
train52.png,действительно
train53.png,человек
train54.png,при
train55.png,всем
train56.png,желании
train57.png,Не
train58.png,способен
train59.png,управлять
train60.png,настоящими
train61.png,чувствами
train62.png,которые
train63.png,затмевают
train64.png,противореченций
train65.png,им
train66.png,разум.
train67.png,Такой
train68.png,сюжет
train69.png,мы
train70.png,морам
train71.png,наблюдать
train72.png,в
train73.png,романе
train74.png,Ивана
train75.png,Сергеевича
train76.png,"Тургенева,"
train77.png,Отцы
train78.png,И
train79.png,"дети"","
train80.png,где
train81.png,главный
train82.png,герой
train83.png,Евгений
train84.png,Васильевич
train85.png,"Базаров,"
train86.png,будучи
train87.png,"никилистом,"
train88.png,отрицал
train89.png,буквально
train90.png,всё
train91.png,вплоть
train92.png,до
train93.png,любви.
train94.png,Его
train95.png,внутренний
train96.png,принцип
train97.png,был
train98.png,против
train99.png,всякой
train100.png,романтики
train101.png,чувств.
train102.png,Он
train103.png,считал
train104.png,это
train105.png,"белибердой,"
train106.png,непро-
train107.png,стительной
train108.png,дурью в
train109.png,Решающей
train110.png,чертой
train111.png,ставшей
train112.png,наперекор
train113.png,его
train114.png,взглядов
train115.png,была
train116.png,встреча
train117.png,с
train118.png,Анной
train119.png,"Одинцовой,"
train120.png,"женщиной,"
train121.png,которая
train122.png,была
train123.png,не
train124.png,такая
train125.png,как
train126.png,все
train127.png,Что
train128.png,те
train129.png,это
train130.png,Казум
train131.png,Сп
train132.png,чувство
train133.png,такое
train134.png,? Это
train135.png,зве
train136.png,Важнейшие
train137.png,шлы
train138.png,винтеннето
train139.png,мига
train140.png,неложил
train141.png,сторые
train142.png,инудаются
train143.png,срче
train144.png,И.
train145.png,д14я
train146.png,Фуна
train147.png,Шеловека
train148.png,ячень
train149.png,слонна
train150.png,Былают
train151.png,штуашии
train152.png,колда
train153.png,Извества
train154.png,челокека
train155.png,преобладают
train156.png,над
train157.png,дзумои
train158.png,иногда
