image,prediction
img\6_28_409.jpg,6 ~мосга. о+о @с
img\11_29_40.jpg,(б& 2  Каф'^ 2  24&с_&
img\6_5_412.jpg,"0 &,>чл (  клжх"
img\9_2_577.jpg,'КочэРэнш;к
img\6_49_385.jpg,~о ~рося   Уочия ;
img\3_6_720.jpg,"Гр < 1:   ~9с7о.,"
img\6_51_383.jpg,%  с0   С~&
img\10_12_343.jpg,{и & ч9 ЧЪ
img\0_39_11.jpg,1ъ6 308ъ
img\9_24_569.jpg,"(%и , Им2"
img\4_37_733.jpg,ш_{и  ' ;
img\2_28_684.jpg,&<'чша ?/ +ъ €
img\5_39_325.jpg,(сжо~ы&  /
img\10_21_453.jpg,Рос с4 4
img\2_29_172.jpg,Клэм щй   Оехыз - ;
img\8_23_847.jpg,( ъ   ~   (чо5
img\10_14_281.jpg,ПЕтропАв ОВСК
img\3_51_719.jpg,не   (жж   степкес ?
img\1_13_658.jpg,"О1,"
img\13_17_193.jpg,[о% @₽)_ччы-&_&
img\10_18_0.jpg,71ркф хщ
img\9_41_535.jpg,92/2 уо2 6ол
img\10_2_383.jpg,7 ч/ъ% -  < -?
img\7_45_422.jpg,{   1х [ех
img\9_8_880.jpg,0702  274744422722272
img\10_7_447.jpg,ЦктА Ч
img\12_47_136.jpg,"'Ъя""6и"
img\5_1_318.jpg,"'""((~"
img\0_21_60.jpg,&мъ % 
img\5_44_318.jpg,Уи 1
img\10_26_127.jpg,~р. & 0 220сёре .%
img\0_20_100.jpg,7е2 - 2 _  & .
img\3_21_186.jpg,Лжфш    __к
img\9_48_553.jpg,"0с с,"
img\10_41_356.jpg,"Юлскоо- ["" ""э~/е жд?"
img\10_14_472.jpg,Пе  ьо паб1о 3 с &
img\8_33_478.jpg,') +у+я В ~4я(~ье&е
img\6_8_794.jpg,"42/1229444 9144 , 42р/244"
img\10_9_320.jpg,АтыриЧ
img\10_39_88.jpg,ГфРх ( 1 (ыё ёй 4
img\8_1_498.jpg,'6#ж Ъ ь   с&ю_
img\3_4_203.jpg,"И& ) см5 1 ""е 3""%"
img\13_38_157.jpg,Ъ 9е/%омс&&ч
img\4_48_291.jpg,Ь] чои   @1см)
img\0_47_15.jpg,аХЭФ  сгч~ъ
img\5_31_773_.jpg,ёёсер2я+ ; 4 7-7 :
img\10_13_381.jpg,Л &..с 9 оч₽
img\13_6_167.jpg,'[ч<ъя
img\2_5_139.jpg,Чю 'ёяж
img\10_12_326.jpg,"К ыжы^ ор ,,0"
img\10_4_136.jpg,Ч1 & &ъ€/о +ь
img\10_27_376.jpg,*&_ 
img\3_47_208.jpg,0э  ~%и1   (жсоб
img\10_21_389.jpg,{2  с 3
img\10_12_338.jpg,70ж*%
img\11_37_20.jpg,[:< < э^ъ
img\0_6_6.jpg,Ф; чм
img\10_20_110.jpg,Сьчос€
img\8_45_516_.jpg,Э(лъе/6 ~чн& &еф.₽
img\10_7_339.jpg,соЧ
img\10_25_134.jpg,' ~#ъ2
img\10_36_198.jpg,Зосмочии   ЛСаЗоясскоЧ-с ко &
img\1_38_221.jpg,0 6 к.  >^ )
img\10_37_448.jpg,ЖА м Б кльс к # 9
img\10_5_113.jpg,Жсм &ч~@
img\4_15_263.jpg,Зо 17% < _о^
img\1_8_122.jpg,~тыЯ%
img\10_25_184.jpg,(о#я']&
img\10_22_95.jpg,3юре&ы%&_
img\10_24_67.jpg,Ъх   (&м
img\10_20_136.jpg,. .
img\0_32_22.jpg,&   06ко4   ко&1 6 .
img\7_3_431.jpg,"И , Тхндд 2"
img\12_51_112.jpg,7 22 2227773 224
img\0_32_43_.jpg,'Ъ   )1Х   |л
img\10_7_203.jpg,Яю ау
img\10_2_159.jpg,(и(м/я
img\8_50_517.jpg,[Пъ &дуус+
img\2_36_133.jpg,Не   4Фжчъе
img\11_43_65.jpg,Км ч ь]
img\9_15_877.jpg,"3@/ж>ъчсь ,"
img\9_3_551.jpg,7охеьем &
img\5_20_320.jpg,.   ~*ю ~~н&
img\0_34_27.jpg,"ост ох ,   с^фко 2.3'"
img\11_20_24_.jpg,"#[юч (""л!"
