image,prediction
images_group_62_9074_3718.png,вго
images_group_62_9074_3719.png,Илигераторскому
images_group_62_9074_3720.png,ФДДЕЛИПЕСТрУ.
images_group_62_9074_3721.png,внлшейс'еаго
images_group_62_9074_3722.png,будерпа́тора!
images_group_62_9074_3723.png,Запортъ.
images_group_62_9074_3724.png,европоезданны́шас
images_group_62_9074_3725.png,долгося
images_group_62_9074_3726.png,свашему
images_group_62_9074_3727.png,Именно
images_group_62_9074_3728.png,ратгорскому
images_group_62_9074_3729.png,"Деличеству,"
images_group_62_9074_3730.png,ЧМКО
images_group_62_9074_3731.png,в-10
images_group_62_9074_3733.png,ренной
images_group_62_9074_3734.png,управлен'ию
images_group_62_9074_3735.png,сноему
images_group_62_9074_3736.png,губернию
images_group_62_9074_3737.png,все
images_group_62_9074_3738.png,состояли́
images_group_62_9074_3739.png,"благопоснучно,"
images_group_62_9074_3741.png,на
images_group_62_9074_3742.png,Высоча́шие
images_group_62_9074_3743.png,демонгрегн'е
images_group_62_9074_3744.png,Ваше
images_group_62_9074_3745.png,годовои
images_group_62_9074_3746.png,отчеть
images_group_62_9074_3747.png,О
images_group_62_9074_3748.png,костоян'ие
images_group_62_9074_3749.png,губерн'ии
images_group_62_9074_3750.png,за
images_group_62_9074_3751.png,1883
images_group_62_9074_3752.png,2022
images_group_62_9074_3753.png,Подписань
images_group_62_9074_3754.png,"Губернаторг,"
images_group_62_9074_3755.png,Генераль
images_group_62_9074_3756.png,Ле́нтенншить
images_group_62_9074_3759.png,ОО
images_group_62_9074_3760.png,длин
images_group_62_9074_3761.png,1884 года)
images_group_62_9074_3762.png,АКАК
images_group_62_9074_3763.png,Красноярск
images_group_62_909_5796.png,Китипалъ
images_group_62_909_5797.png,с'ей
images_group_62_909_5798.png,состоить
images_group_62_909_5799.png,въ
images_group_62_909_5800.png,распо-
images_group_62_909_5801.png,ряжении
images_group_62_909_5802.png,Енисейского
images_group_62_909_5803.png,ГГББГБГУГБГЕУГККККККККККККККККК
images_group_62_909_5804.png,Грив-
images_group_62_909_5805.png,ления
images_group_62_909_5806.png,и числится
images_group_62_909_5807.png,гго
images_group_62_909_5808.png,счетамъ
images_group_62_909_5809.png,Казна-
images_group_62_909_5810.png,чейство
images_group_62_909_5811.png,въ
images_group_62_909_5812.png,партикулярныхъ
images_group_62_909_5813.png,сгримало
images_group_62_909_5814.png,сего
images_group_62_909_5815.png,учреждения
images_group_62_909_5816.png,Военный
images_group_62_909_5817.png,Губернаторъ г.
images_group_62_909_5818.png,Красноярска
images_group_62_909_5819.png,Ш
images_group_62_909_5820.png,Онисейский
images_group_62_909_5821.png,Гражданский
images_group_62_909_5822.png,Губернаторъ
images_group_62_909_5823.png,Генераль-
images_group_62_909_5824.png,Майорга
images_group_62_909_5825.png,Вхвдомость
images_group_62_909_5826.png,О приходъ
images_group_62_909_5827.png,расхо́да
images_group_62_909_5828.png,И
images_group_62_909_5829.png,остатка
images_group_62_909_5830.png,суммль
images_group_62_909_5831.png,по
images_group_62_909_5832.png,Красноярскому
images_group_62_909_5833.png,Губернскому
images_group_62_909_5834.png,Тюремному
images_group_62_909_5835.png,Комитету
images_group_62_909_5836.png,И.
images_group_62_909_5837.png,Армия Мужскимь
images_group_62_909_5838.png,отделениямъ
images_group_62_909_5839.png,За 1866 годъ
images_group_62_909_5840.png,1-
images_group_62_909_5842.png,Стать
images_group_62_909_5845.png,Миновников
images_group_62_909_5846.png,Особыр
images_group_62_909_5847.png,Паручит'я
images_group_62_9096_6755.png,Хотя
images_group_62_9096_6756.png,урожай
images_group_62_9096_6757.png,белоче́бо
images_group_62_9096_6758.png,окабался
images_group_62_9096_6759.png,будо-
images_group_62_9096_6760.png,влитворитель
images_group_62_9096_6761.png,"писев,"
images_group_62_9096_6762.png,2-1 О
images_group_62_9096_6763.png,затрудени́ю
images_group_62_9096_6765.png,для
images_group_62_9096_6766.png,обезличенны
images_group_62_9096_6767.png,НИИТИИЕСКИЙ
images_group_62_9096_6768.png,гробовальств'иное
images_group_62_9096_6769.png,КПГЕ
images_group_62_9096_6770.png,стейшнаше
images_group_62_9096_6771.png,на носо
images_group_62_9096_6772.png,в ле
images_group_62_9096_6773.png,2-1-5
images_group_62_9096_6774.png,дву́день
images_group_62_9096_6775.png,ВКП-НИО -
images_group_62_9096_6776.png,"сегед,"
images_group_62_9096_6777.png,сельче
images_group_62_9096_6778.png,гг.
images_group_62_9096_6779.png,многиеи
images_group_62_9096_6780.png,обывателей
images_group_62_9096_6781.png,все
images_group_62_9096_6782.png,осе́дье-
images_group_62_9096_6783.png,носили;
images_group_62_9096_6784.png,вес
images_group_62_9096_6786.png,"оверучей,"
images_group_62_9096_6788.png,достаточныя
images_group_62_9096_6789.png,запасы
images_group_62_9096_6790.png,жел'б'еа;
images_group_62_9096_6791.png,ВКАТО
images_group_62_9096_6793.png,нифь
images_group_62_9096_6795.png,всеги
images_group_62_9096_6796.png,воль
images_group_62_9096_6797.png,нашир
images_group_62_9096_6798.png,кла́бо
images_group_62_9096_6800.png,на которь
images_group_62_9096_6803.png,незначительный
images_group_62_9096_6804.png,недостатковое
images_group_62_9096_6805.png,вес
images_group_62_9096_6807.png,КАТО
images_group_62_9096_6808.png,нужебы
images_group_62_9096_6809.png,свои)
images_group_62_9096_6810.png,деителей
images_group_62_9096_6811.png,сногути
images_group_62_9096_6812.png,убовенстворить
images_group_62_9096_6813.png,займама
images_group_62_9096_6814.png,из-за
images_group_62_9096_6815.png,запасные
images_group_62_9096_6816.png,сельскирь
images_group_62_9096_6817.png,экономический
images_group_62_9096_6818.png,"сначарийства,"
images_group_62_9096_6819.png,вес
images_group_62_9096_6820.png,поизы
images_group_62_9096_6821.png,народится
images_group_62_9096_6822.png,на
images_group_62_9096_6823.png,мира
images_group_62_9096_6824.png,озимало
images_group_62_9096_6825.png,П. А.
images_group_62_9096_6826.png,сяроваго
images_group_62_9096_6827.png,ушеба
images_group_62_9096_6828.png,ДДО
images_group_62_9096_6829.png,2648 чел.
images_group_62_9096_6830.png,твертей;
images_group_62_9096_6831.png,Крымск
images_group_62_9096_6832.png,"его его,"
images_group_62_9096_6833.png,занимаясь
images_group_62_9096_6834.png,знав ейшего
images_group_62_9096_6835.png,"промышленностью,"
images_group_62_9096_6836.png,Кака
images_group_62_9096_6837.png,МГО
images_group_62_9096_6838.png,извозость
images_group_62_9096_6839.png,кулические
images_group_62_9096_6840.png,"его варовь,"
images_group_62_9096_6841.png,рыболовствоищ
images_group_62_9096_6842.png,КАТЕ
images_group_62_9096_6843.png,добычей
images_group_62_9096_6844.png,звозда
images_group_62_9096_6845.png,егеге
images_group_62_9096_6846.png,могуть
images_group_62_9096_6848.png,сейчи
images_group_62_9096_6849.png,себе́ть
images_group_62_9096_6850.png,средства
images_group_62_9096_6851.png,Лень
images_group_62_9096_6853.png,хельфа
images_group_62_9096_6854.png,вве
images_group_62_9096_6855.png,зависимо
images_group_62_9096_6856.png,"кего,"
images_group_62_9096_6857.png,про́бовольств'е
images_group_62_9096_6859.png,влишенской
images_group_62_9096_6860.png,губерн'ии
images_group_62_9096_6861.png,обутчивается
images_group_62_9096_6863.png,духовщими
images_group_62_9096_6864.png,про́говоиственными
images_group_62_9096_6866.png,попасение
images_group_62_9096_6867.png,ОКА
images_group_62_9096_6868.png,губернским
images_group_62_9096_6869.png,- 95.0 53
images_group_62_9096_6870.png,ралу́бо
images_group_62_9096_6871.png,-2
images_group_62_9096_6873.png,находящихся
images_group_62_9096_6874.png,выдоращение
images_group_62_9096_6875.png,во
images_group_62_9096_6876.png,Фагударствен-
images_group_62_9096_6877.png,нашего
images_group_62_9096_6878.png,банков
images_group_62_9096_6879.png,процентных
images_group_62_9096_6880.png,бумагары;
images_group_62_9096_6882.png,скрещанскими
images_group_62_9096_6883.png,НКРУ́г
images_group_62_9096_6884.png,"12 вест,"
images_group_62_9096_6885.png,воль
images_group_62_9096_6886.png,переешлях
images_group_62_9096_6887.png,"снимого,"
images_group_62_9096_6888.png,Уетб-
images_group_62_9096_6889.png,Шунгузенского
images_group_62_910_7874.png,Ибрасходовано
images_group_62_910_7875.png,ноч
images_group_62_910_7876.png,сусилич
images_group_62_910_7877.png,КЧ
images_group_62_910_7878.png,решу
images_group_62_910_7879.png,по ступило
images_group_62_910_7880.png,сулишь
images_group_62_910_7881.png,варя
images_group_62_910_7882.png,1866
images_group_62_910_7883.png,сынывает
images_group_62_910_7884.png,Частнаись
images_group_62_910_7885.png,Итого
images_group_62_910_7886.png,ль
images_group_62_910_7887.png,Колептников
images_group_62_910_7888.png,Частный
images_group_62_910_7889.png,Итого
images_group_62_910_7890.png,КОМУ
images_group_62_910_7891.png,гнва
images_group_62_910_7892.png,раВВГК
images_group_62_910_7893.png,благотворитель
images_group_62_910_7894.png,благотвори
images_group_62_910_7895.png,скостаток
images_group_62_910_7896.png,ньихол
images_group_62_910_7897.png,ОКО
images_group_62_910_7898.png,Осталось
images_group_62_910_7899.png,оставалось
images_group_62_910_7900.png,тельные
images_group_62_910_7901.png,И
images_group_62_910_7902.png,ним
images_group_62_910_7903.png,налогчестних
images_group_62_910_7904.png,Экономическия
images_group_62_910_7905.png,По
images_group_62_910_7906.png,Губернскому
images_group_62_910_7907.png,комитету.
images_group_62_910_7908.png,Улич
images_group_62_910_7909.png,КУЖЕКИМК
images_group_62_910_7910.png,отделеньямь-
images_group_62_910_7911.png,На
images_group_62_910_7912.png,капиталы
images_group_62_910_7913.png,Комитета
images_group_62_910_7914.png,обращающееся
images_group_62_910_7915.png,въ
images_group_62_910_7916.png,кредитный
images_group_62_910_7917.png,становлениях
images_group_62_910_7918.png,въ
images_group_62_910_7919.png,количество-
images_group_62_910_7920.png,М.Пр
images_group_62_910_7921.png,процентовъ
images_group_62_910_7922.png,не
images_group_62_910_7923.png,истребовано.
images_group_62_910_7924.png,Расходь
images_group_62_910_7925.png,ИПК
images_group_62_910_7926.png,собственныхъ
images_group_62_910_7927.png,суммы
images_group_62_910_7928.png,Комитета
images_group_62_910_7929.png,итоплени́
images_group_62_910_7930.png,"простирался,"
images_group_62_910_7931.png,какъ
images_group_62_910_7932.png,значится
images_group_62_910_7933.png,выше
images_group_62_910_7934.png,въ
images_group_62_910_7935.png,графы
images_group_62_910_7936.png,"в,"
images_group_62_910_7937.png,до
images_group_62_910_7938.png,211.75р.
images_group_62_910_7939.png,"7%к,"
images_group_62_910_7940.png,На
images_group_62_910_7941.png,слоедующее
images_group_62_910_7942.png,предметы:
images_group_62_910_7943.png,Жалованье и
images_group_62_910_7944.png,пособие
images_group_62_910_7945.png,Смотрителямъ
images_group_62_910_7946.png,Священно
images_group_62_910_7948.png,"врачу,"
images_group_62_910_7949.png,фильдшерамъ
images_group_62_910_7950.png,надзирателямъ
images_group_62_910_7951.png,содер-
images_group_62_910_7952.png,силание
images_group_62_910_7953.png,канцелярш
images_group_62_910_7954.png,гл
images_group_62_910_7955.png,прислуги-
images_group_62_910_7956.png,"Одесчебу,"
images_group_62_910_7957.png,былье
images_group_62_910_7958.png,и
images_group_62_910_7959.png,обувь
images_group_62_910_7960.png,Улгржение
images_group_62_910_7961.png,"тюремъ,"
images_group_62_910_7962.png,построики
images_group_62_910_7963.png,"вынило,"
images_group_62_910_7964.png,исправление
images_group_62_910_7965.png,"овреждении,"
images_group_62_910_7966.png,снабжение
images_group_62_910_7967.png,необходимоими
images_group_62_910_7968.png,вещами-
images_group_62_910_7969.png,Фъ
images_group_62_910_7970.png,пособие
images_group_62_910_7971.png,на
images_group_62_910_7972.png,содержание
images_group_62_910_7973.png,больницъ
images_group_62_910_7974.png,плату
images_group_62_910_7975.png,"замедикагенты,"
images_group_62_910_7976.png,покупку
images_group_62_910_7977.png,комисар'атских
images_group_62_910_7978.png,припасово-
images_group_62_910_7979.png,Улучшение
images_group_62_910_7980.png,арестантскои
images_group_62_910_7981.png,пищи
images_group_62_910_7982.png,понедостатку
images_group_62_910_7983.png,кормвойч
images_group_62_910_7984.png,Оденегъ
images_group_62_910_7985.png,покупку
images_group_62_910_7986.png,мяса
images_group_62_910_7987.png,рыбы
images_group_62_910_7988.png,проч.-
images_group_62_910_7989.png,Покупку
images_group_62_910_7990.png,рогатаго
images_group_62_910_7991.png,СХОТА
images_group_62_910_7992.png,для
images_group_62_910_7993.png,"убоя,"
images_group_62_910_7994.png,слухи
images_group_62_910_7995.png,речеаной
images_group_62_910_7996.png,напродовольств'е
images_group_62_910_7997.png,арестантовъ
images_group_62_910_7998.png,Отсылку
images_group_62_910_7999.png,телеграмы
images_group_62_910_8000.png,Г.е
images_group_62_910_8001.png,Министру
images_group_62_910_8002.png,Внутреннихъ
images_group_62_910_8003.png,Опы
images_group_62_910_8004.png,объ
images_group_62_910_8005.png,увестчении
images_group_62_910_8006.png,кормовыль
images_group_62_910_8007.png,арестантамъ.
images_group_62_910_8008.png,Военныи
images_group_62_910_8009.png,Губернаторъ с
images_group_62_910_8010.png,Красноярска
images_group_62_910_8011.png,иентейски́
images_group_62_910_8012.png,Граждански
images_group_62_910_8013.png,"Губернаторчо,"
images_group_62_910_8014.png,Генераль-е
images_group_62_910_8015.png,Ма́гору
images_group_62_910_8016.png,Географического
images_group_62_910_8019.png,Пручино
images_group_62_910_8020.png,Чехову
images_group_62_9122_8934.png,Во
images_group_62_9122_8936.png,давалушеров
images_group_62_9122_8938.png,пятьд
images_group_62_9122_8939.png,есяц
images_group_62_9122_8941.png,Впришн.9.
images_group_62_9122_8942.png,Секрегнар
images_group_62_908_15058.png,Оборос
images_group_62_908_15059.png,на
images_group_62_908_15060.png,народное продоволь-
images_group_62_908_15061.png,стые
images_group_62_908_15062.png,Къ 1 числу Яньаря
images_group_62_908_15063.png,1866 года
images_group_62_908_15064.png,состоя-
images_group_62_908_15065.png,ло
images_group_62_908_15066.png,отаго
images_group_62_908_15067.png,капитала
images_group_62_908_15068.png,налигро
images_group_62_908_15069.png,Въ недоимка
images_group_62_908_15070.png,на жителях-
images_group_62_908_15071.png,Фь долг
images_group_62_908_15072.png,ни хлюбно́мъ
images_group_62_908_15073.png,капитало
images_group_62_908_15074.png,ВКВКгоду
images_group_62_908_15075.png,слюдовало
images_group_62_908_15076.png,собрать-
images_group_62_908_15077.png,Фь то число
images_group_62_908_15078.png,собрано
images_group_62_908_15079.png,съ жите
images_group_62_908_15080.png,лей:
images_group_62_908_15081.png,"О6 Многцань,"
images_group_62_908_15082.png,поселенцев
images_group_62_908_15083.png,и Инород-
images_group_62_908_15084.png,грех
images_group_62_908_15085.png,"по 5 копъекъ,"
images_group_62_908_15086.png,ись крестьянь
images_group_62_908_15087.png,по́3 котьки
images_group_62_908_15088.png,Исключено
images_group_62_908_15089.png,загры́бью
images_group_62_908_15090.png,огрич.
images_group_62_908_15091.png,Ра́чтено
images_group_62_908_15092.png,вступлышись
images_group_62_908_15093.png,вывого
images_group_62_908_15094.png,въ счеть
images_group_62_908_15095.png,оклада 1866 года
images_group_62_908_15096.png,Постгртило
images_group_62_908_15097.png,об счеть
images_group_62_908_15098.png,оклада 1867
images_group_62_908_15099.png,соти
images_group_62_908_15100.png,бол толь
images_group_62_908_15101.png,кг 1864 году
images_group_62_908_15102.png,осталось
images_group_62_908_15103.png,на лицо
images_group_62_908_15104.png,Рбь недо́глымка
images_group_62_908_15105.png,на жителяхъ
images_group_62_908_15106.png,Во долгу
images_group_62_908_15107.png,на хлюбномь
images_group_62_908_15108.png,капита
images_group_62_908_15109.png,ль
images_group_62_908_15110.png,Для построительность
images_group_62_908_15111.png,отъ
images_group_62_908_15112.png,по
images_group_62_908_15113.png,жара:
images_group_62_908_15114.png,Ко 1числу Января
images_group_62_908_15115.png,оставалось
images_group_62_908_15116.png,на лицо.
images_group_62_908_15117.png,Въ. недо́глышка
images_group_62_908_15118.png,на жителяхь-
images_group_62_908_15119.png,Въ 1866 году
images_group_62_908_15120.png,слюдовало
images_group_62_908_15121.png,собрать
images_group_62_908_15122.png,со включен'емъ
images_group_62_908_15123.png,причислен'я
images_group_62_908_15124.png,Въ то число
images_group_62_908_15125.png,собрано
images_group_62_908_15126.png,съ жите
images_group_62_908_15127.png,легч
images_group_62_908_15128.png,по 4 копт'ики
images_group_62_908_15129.png,Исключено
images_group_62_908_15130.png,за грбылью
images_group_62_908_15131.png,Огрич
images_group_62_908_15132.png,зачтено
images_group_62_908_15133.png,встрившись
images_group_62_908_15134.png,00 1865году
images_group_62_908_15135.png,въ
images_group_62_908_15136.png,сче́ть
images_group_62_908_15137.png,окладного
images_group_62_908_15138.png,сбора 1866 года.
images_group_62_908_15139.png,Поступило
images_group_62_908_15140.png,въ счетъ
images_group_62_908_15141.png,оклада 1860
images_group_62_908_15142.png,греч.
images_group_62_908_15143.png,Употреблено
images_group_62_908_15144.png,въ расходь
images_group_62_908_15145.png,Рытано
images_group_62_908_15146.png,раннымъ
images_group_62_908_15147.png,лицамъ
images_group_62_908_15148.png,-го-
images_group_62_908_15149.png,терпывшимъ
