image,prediction
test0.png,ибо
test1.png,осталось
test10.png,поле
test100.png,Оптическо
test1000.png,1 класса
test1001.png,г.Ульяновск
test1002.png,На место
test1003.png,паспорт
test1004.png,назначения
test1005.png,отправление
test1006.png,было только
test1007.png,6.10.2017г.
test1008.png,просрочив все срок
test1009.png,которые для
test101.png,тогда
test1010.png,отправления были
test1011.png,критичны.
test1012.png,Просьба разобраться
test1013.png,в ситуации
test1014.png,ЗО.08.2007
test1015.png,дав обратную
test1016.png,связь
test1017.png,а также
test1018.png,которые были
test1019.png,опслачены за
test102.png,спосод
test1020.png,1 класся
test1021.png,Данные по
test1023.png,Ксерокопия
test1024.png,приложена
test1025.png,выдом ОВД
test1026.png,заявлению
test1027.png,Контакты дия
test1028.png,Атия Сергеевия
test1029.png,7.10.2017г.
test103.png,угольник
test1030.png,Расписка
test1031.png,10 мюна 2020г.
test1032.png,2.Сомкт-петербуры
test1033.png,Иванов чевак
test1034.png,15.02.18г.
test1035.png,рощдения
test1036.png,19.10.2007г.
test1037.png,паслорт сения
test1039.png,18.03.2007г.
test104.png,Мнанество
test1040.png,но адресу
test1041.png,деные
test1042.png,рублей
test1043.png,18.04.1980
test1044.png,паслоют сения
test1045.png,зареместрикован
test1046.png,"г. Севоевах,"
test1047.png,деленсую сумму
test1048.png,ул. овенина
test1049.png,вышесказанную
test105.png,Касательная
test1050.png,рублей
test1051.png,Иванов И.И.
test1052.png,28.11.11
test1053.png,14лег
test1054.png,Плоскойопие
test1055.png,обесск
test1056.png,Киров
test1057.png,ноября 2016
test1058.png,в размере 334 о
test1059.png,Вашн
test106.png,Рассмотрии
test1060.png,ВД нешного
test1061.png,25.06.2005
test1063.png,Логикин Юрий
test1064.png,94
test1065.png,47315
test1066.png,ОвД р-на
test1067.png,16.08.2004г.
test1068.png,г. Киров
test1069.png,тренста тридцать
test107.png,Мректориальное
test1070.png,Шкода фабия
test1071.png,Паспорт
test1072.png,44 тыс99 4
test1073.png,При тысяги девяться
test1074.png,Доверенность
test1075.png,паспорж
test1076.png,номер
test1077.png,выдан
test1078.png,отделением
test1079.png,по ройону
test108.png,Событие
test1080.png,рублей
test1081.png,Москве
test1082.png,кор подродделения
test1083.png,проживаю
test1084.png,по адрееу
test1085.png,кваршира
test1086.png,доверяю получать
test1087.png,ошнравления
test1088.png,приходящие
test1089.png,на моё имя
test109.png,любое
test1090.png,по адресу
test1091.png,в колитве дазатка
test1092.png,г. Мослва
test1093.png,"22772,"
test1094.png,выдан
test1095.png,ОВД района
test1096.png,"г. Мослвы,"
test1097.png,нод подразделения
test1098.png,проживологицему
test1099.png,по адресу
test11.png,новое
test110.png,Вопрос
test1100.png,25.01.2016.
test1101.png,30.09.2018
test1102.png,"сентябрь,"
test1103.png,да автомобиль
test1104.png,12.09.2013
test1105.png,12.09.2013
test1106.png,12.09.2013г.
test1107.png,12.09.2013г.
test1108.png,30.09.2013г.
test1109.png,12.09.2013
test111.png,Исполодование
test1110.png,За период практики
test1111.png,Савгенко И.А.
test1115.png,с составленным
test1116.png,плают
test1117.png,Па основе
test1118.png,модели
test1119.png,процесса
test112.png,непустое
test1120.png,определены
