image,prediction
train0.png,кчи
train1.png,И
train2.png,Ш~%
train3.png,^~
train4.png,1(
train5.png,411
train6.png,((
train7.png,)
train8.png,)
train9.png,о&
train10.png,очниие
train11.png,(<
train12.png,оикпткно
train13.png,ши
train14.png,чиои
train15.png,{й
train16.png,наймся
train17.png,ии
train18.png,6
train19.png,#е
train20.png,Рмай
train21.png,6лобк
train22.png,о`у
train23.png,чи
train24.png,)
train25.png,шиим
train26.png,кчи
train27.png,Шжа
train28.png,Шаад
train29.png,Шл(уаосчм
train30.png,Ций
train31.png,-^жчМуми
train32.png,(
train33.png,шйй
train34.png,пиим
train35.png,)^
train36.png,е~м
train37.png,Мии
train38.png,Жоома
train39.png,К
train40.png,М(3
train41.png,0к
train42.png,@
train43.png,И@ <
train44.png,Юусчамм
train45.png,"^ ,"
train46.png,1м
train47.png,Му
train48.png,^З
train49.png,(аФдь^^
train50.png,"Ш(и """
train51.png,{с
train52.png,чиионо
train53.png,шбе
train54.png,к
train55.png,оси
train56.png,^ми
train57.png,н!
train58.png,(ие
train59.png,чеяь
train60.png,нич
train61.png,чуееиси
train62.png,:ющ0
train63.png,)~чичи
train64.png,ммдопочиций
train65.png,е
train66.png,|.
train67.png,1шм
train68.png,енни
train69.png,Чм
train70.png,Аи
train71.png,ма о^%
train72.png,0
train73.png,йюл
train74.png,1
train75.png,еилзсими
train76.png,Пулнуа
train77.png,Угуы
train78.png,/1
train79.png,"чеи"""
train80.png,"""е"
train81.png,ииныи
train82.png,Оифй
train83.png,бен
train84.png,Иииьви
train85.png,">емчис ,"
train86.png,Шу(
train87.png,мим ;
train88.png,ммщам
train89.png,ощични
train90.png,к6
train91.png,+
train92.png,Ш
train93.png,Шем
train94.png,(0
train95.png,#лмпфчмш
train96.png,^щ^
train97.png,О+(
train98.png,Ш>
train99.png,чч
train100.png,иишичм
train101.png,ш8 .
train102.png,)М
train103.png,"еч""М("
train104.png,и
train105.png,дешчеийм
train106.png,цм0 -
train107.png,чиПин
train108.png,"Ччкн  """
train109.png,чеи
train110.png,`и
train111.png,имчм
train112.png,мапииим
train113.png,(^
train114.png,Име%
train115.png,сохи
train116.png,фамими
train117.png,@
train118.png,Ануи
train119.png,"Уушчие ,"
train120.png,"пришином,"
train121.png,(1
train122.png,дни
train123.png,м
train124.png,Маий
train125.png,Ий
train126.png,6с 
train127.png,Ц~0
train128.png,м=; <
train129.png,"3"""
train130.png,1433 ~1
train131.png,=1
train132.png,4 46 0! 20
train133.png,44 7_0 &
train134.png,?9т5
train135.png,це
train136.png,04 1=1224(._0
train137.png,{6-=7
train138.png,к! 47 &1-250
train139.png,#ц `
train140.png,6&40 '*+_4
train141.png,50 ; 8( &
train142.png,44_у(4_оЁ_2
train143.png,9^.+ [
train144.png,","
train145.png,9(4(.&
train146.png,`54
train147.png,(-1&-04.4
train148.png,_ -{(_( 5
train149.png,С4-0 04144
train150.png,"5^7""4+5"
train151.png,"ь.!_+4,4,лу-+ч(_(^"
train152.png,".б..!,,,?]'."
train153.png,!(.!_@.!>4
train154.png,'_0_ 010_` 4
train155.png,!1.8_4_2.4_@2
train156.png,Н.4-
train157.png,"Ф475 4 """
train158.png,Ш[
train159.png,"!""4 3, 4 н'"
train160.png,|- ? ( ' 5
