image,prediction
image_5_2272.jpg,6997519830
image_5_72056.jpg,2995
image_20_26427.jpg,пЕРЕЗАПУЩЕНО
image_5_29593.jpg,72893979143143145
image_20_19193.jpg,лимите
image_5_77002.jpg,35058118107
image_20_25529.jpg,хофтом
image_2_176421.jpg,село
image_20_20094.jpg,удаляющий
image_20_39948.jpg,порядочное
image_2_263919.jpg,902971166270-65
image_5_73700.jpg,604336
image_20_59483.jpg,удачных
image_5_44823.jpg,9491721506004462206
image_5_91752.jpg,8679042
image_20_1192.jpg,КОЛЛЕР
image_5_12987.jpg,7533053
image_5_80418.jpg,32929
image_20_24771.jpg,вменять
image_2_47954.jpg,505-995
image_5_36232.jpg,695229615381253146
image_2_218771.jpg,9-40
image_20_48924.jpg,отягчающих
image_5_31654.jpg,77132325620823
image_20_11089.jpg,Казн'е́н
image_2_260787.jpg,006-289199
image_5_50823.jpg,032854854
image_5_85214.jpg,9970
image_2_193704.jpg,59439375-02573
image_5_73586.jpg,5602003055
image_2_264364.jpg,81471958781
image_5_7001.jpg,00535363
image_5_75942.jpg,354432951995995
image_2_238990.jpg,46.7 94
image_20_13078.jpg,Пристреливают
image_20_77036.jpg,чаруша
image_20_25060.jpg,могущественным
image_2_188728.jpg,полное получившее
image_5_29221.jpg,481560731175
image_2_248125.jpg,"328791232,"
image_2_228913.jpg,062.417
image_2_32146.jpg,"2-8,6141 1 197"
image_20_84250.jpg,легитимизации
image_2_226565.jpg,548767078
image_2_142734.jpg,89.3
image_2_142782.jpg,313-19730931;02
image_2_100135.jpg,3-2125
image_20_40974.jpg,ВАСЬКА
image_2_68975.jpg,290-744
image_2_86095.jpg,"519:0,488"
image_20_95656.jpg,Буассезон
image_5_59855.jpg,6542
image_5_25841.jpg,85750718
image_5_81454.jpg,1799
image_5_6547.jpg,8822252776118249098
image_20_54299.jpg,пустите
image_2_287782.jpg,72213-76:039609
image_5_76228.jpg,560777030858
image_20_9902.jpg,состязательного
image_20_31004.jpg,раздолбаев
