Final_Rank,Model,CER,WER,Accuracy,Average_Rank
1,trba_lite_g2,0.0256,0.1133,0.8873,1.0
2,cyrillic_g1,0.1118,0.4327,0.6393,3.3333
3,trocr_ru_1700s,0.094,0.4513,0.6053,3.6667
4,dialecticstackmixDomino,0.1051,0.4353,0.6007,4.3333
5,trocr_ru_base_rxt,0.103,0.502,0.62,5.0
6,cyrillic_g2,0.1086,0.51,0.628,5.6667
7,trba_base_g1,0.1126,0.4527,0.5873,6.3333
8,dialecticDomino,0.1332,0.458,0.5647,7.6667
9,trba_lite_g1,0.1314,0.4667,0.5553,8.0
10,trocr_ru_kazars24,0.3205,0.7473,0.266,10.0
11,trocr_cyrillic_hw,0.4762,1.12,0.2133,11.0
