image,prediction
train0.png,Разум
train1.png,И
train2.png,чувства.
train3.png,что
train4.png,же
train5.png,это
train6.png,такое
train7.png,9
train8.png,это
train9.png,дві
train10.png,важнейшие
train11.png,силь
train12.png,внутреннего
train13.png,мира
train14.png,человека
train15.png,которые
train16.png,нуказаются
train17.png,друг
train18.png,8
train19.png,друге.
train20.png,Душа
train21.png,человека
train22.png,очень
train23.png,словена.
train24.png,Бывают
train25.png,следций
train26.png,"когда,"
train27.png,чувства
train28.png,4 запаля
train29.png,преобладают
train30.png,над
train31.png,раздмом.
train32.png,а
train33.png,"иногда,"
train34.png,разулі
train35.png,"берет,"
train36.png,верх.
train37.png,над
train38.png,"чувствами,"
train39.png,Не
train40.png,3/29
train41.png,Яюк
train42.png,де.
train43.png,Колапы
train44.png,Вовенаръ
train45.png,говорил:
train46.png,Разуму
train47.png,не
train48.png,постичь
train49.png,надоблостей
train50.png,сердца!
train51.png,Ведь
train52.png,действительно
train53.png,человек.
train54.png,уги
train55.png,всем
train56.png,"желаний,"
train57.png,не
train58.png,способен
train59.png,укравлять.
train60.png,настроящими
train61.png,чувствами.
train62.png,которые
train63.png,заплчевской
train64.png,Противоречащий
train65.png,ли
train66.png,разум.
train67.png,Такой
train68.png,сюжет
train69.png,мы
train70.png,молам
train71.png,на блюдать.
train72.png,8
train73.png,романе
train74.png,Ивана
train75.png,Сергеевича
train76.png,"Тургенева,"
train77.png,"отцы,"
train78.png,И
train79.png,"дети,"
train80.png,где
train81.png,Главный
train82.png,черой
train83.png,Евгений
train84.png,Васильевич
train85.png,Базаров
train86.png,будучи
train87.png,нишлистом;
train88.png,отрицах
train89.png,буквально
train90.png,все
train91.png,"вплоть,"
train92.png,до
train93.png,любви
train94.png,его
train95.png,внутренний
train96.png,принцит
train97.png,был
train98.png,против
train99.png,всякой
train100.png,райостики
train101.png,чувств.
train102.png,Он
train103.png,считал
train104.png,то
train105.png,Белибердой
train106.png,некро-
train107.png,стительной
train108.png,дурью…
train109.png,Ремающий
train110.png,черпой.
train111.png,ставшей
train112.png,наперендъ
train113.png,его
train114.png,взглядов
train115.png,была
train116.png,"встреча,"
train117.png,с
train118.png,Анной
train119.png,Одинцовой
train120.png,женщиной.
train121.png,которая
train122.png,была
train123.png,не
train124.png,такая
train125.png,как
train126.png,"все,"
train127.png,что
train128.png,ме
train129.png,это
train130.png,Разум
train131.png,"Ой,"
train132.png,чувства
train133.png,Такое
train134.png,Это
train135.png,И҆ речѐ:
train136.png,Взыкалене
train137.png,Сырот
train138.png,Впуткуют
train139.png,Шуря
train140.png,негодня
train141.png,старые
train142.png,И҆ речѐ гдⷭ҇ь къ царю̀:
train143.png,СРНЇ
train144.png,Из
train145.png,даві́дъ.
train146.png,Другия
train147.png,Старанен
train148.png,Очень
train149.png,сполуна
train150.png,Быстают
