"image","prediction"
"images_group_62_9074_3718.png","Его"
"images_group_62_9074_3719.png","Илеператорскому"
"images_group_62_9074_3720.png","Эделинству"
"images_group_62_9074_3721.png","Еписайскаго"
"images_group_62_9074_3722.png","Губернатора."
"images_group_62_9074_3723.png","Рапортъ."
"images_group_62_9074_3724.png","Весподанный."
"images_group_62_9074_3725.png","денься"
"images_group_62_9074_3726.png","Башему"
"images_group_62_9074_3727.png","Импе-"
"images_group_62_9074_3728.png","раторскому"
"images_group_62_9074_3729.png","Величеству"
"images_group_62_9074_3730.png","что"
"images_group_62_9074_3731.png","во"
"images_group_62_9074_3733.png","ренной"
"images_group_62_9074_3734.png","Управлению"
"images_group_62_9074_3735.png","моему"
"images_group_62_9074_3736.png","губернии"
"images_group_62_9074_3737.png","все"
"images_group_62_9074_3738.png","состоинъ"
"images_group_62_9074_3739.png","благопострено,"
"images_group_62_9074_3741.png","на"
"images_group_62_9074_3742.png","Бысочайникъ"
"images_group_62_9074_3743.png","усмотрение"
"images_group_62_9074_3744.png","Ваше"
"images_group_62_9074_3745.png","годовой"
"images_group_62_9074_3746.png","отчетъ"
"images_group_62_9074_3747.png","о"
"images_group_62_9074_3748.png","состоянии"
"images_group_62_9074_3749.png","губернии"
"images_group_62_9074_3750.png","за"
"images_group_62_9074_3751.png","1883"
"images_group_62_9074_3752.png","год."
"images_group_62_9074_3753.png","Подписанъ:"
"images_group_62_9074_3754.png","Губернаторъ,"
"images_group_62_9074_3755.png","Генеранъ"
"images_group_62_9074_3756.png","Лейменантъ"
"images_group_62_9074_3759.png","30"
"images_group_62_9074_3760.png","Одень"
"images_group_62_9074_3761.png","1884 года"
"images_group_62_9074_3762.png","Асль"
"images_group_62_9074_3763.png","Красноярск"
"images_group_62_909_5796.png","Каписанъ"
"images_group_62_909_5797.png","сей"
"images_group_62_909_5798.png","состогить"
"images_group_62_909_5799.png","въ"
"images_group_62_909_5800.png","распо-"
"images_group_62_909_5801.png","ряжении"
"images_group_62_909_5802.png","Енисейскаго"
"images_group_62_909_5803.png","Губернскаго"
"images_group_62_909_5804.png","Прав-"
"images_group_62_909_5805.png","ления"
"images_group_62_909_5806.png","И числится"
"images_group_62_909_5807.png","по"
"images_group_62_909_5808.png","счетамъ"
"images_group_62_909_5809.png","Казна"
"images_group_62_909_5810.png","чейсть-"
"images_group_62_909_5811.png","въ"
"images_group_62_909_5812.png","партикулярныхъ"
"images_group_62_909_5813.png","суминсих"
"images_group_62_909_5814.png","Сего"
"images_group_62_909_5815.png","греждения"
"images_group_62_909_5816.png","Военный"
"images_group_62_909_5817.png","Губернаторъ г."
"images_group_62_909_5818.png","Красноярска"
"images_group_62_909_5819.png","И"
"images_group_62_909_5820.png","Снисейский"
"images_group_62_909_5821.png","Гражданский"
"images_group_62_909_5822.png","Губернаторъ"
"images_group_62_909_5823.png","Генералъ"
"images_group_62_909_5824.png","Испоръ"
"images_group_62_909_5825.png","Ведомость"
"images_group_62_909_5826.png","Оприходѣ,"
"images_group_62_909_5827.png","расладе"
"images_group_62_909_5828.png","И"
"images_group_62_909_5829.png","останикъ"
"images_group_62_909_5830.png","суммъ"
"images_group_62_909_5831.png","по"
"images_group_62_909_5832.png","Красноярскому"
"images_group_62_909_5833.png","Губернскому"
"images_group_62_909_5834.png","Тюремному"
"images_group_62_909_5835.png","Комитету"
"images_group_62_909_5836.png","И"
"images_group_62_909_5837.png","на Мучиским"
"images_group_62_909_5838.png","отделениям"
"images_group_62_909_5839.png","За 1886 год"
"images_group_62_909_5840.png","Има"
"images_group_62_909_5842.png","Стато"
"images_group_62_909_5845.png","Чиновникъ"
"images_group_62_909_5846.png","Особыръ"
"images_group_62_909_5847.png","Пиручний"
"images_group_62_9096_6755.png","Хотя"
"images_group_62_9096_6756.png","урожай"
"images_group_62_9096_6757.png","хлеба"
"images_group_62_9096_6758.png","опавался"
"images_group_62_9096_6759.png","наудо"
"images_group_62_9096_6760.png","влетворатель"
"images_group_62_9096_6761.png","нимъ"
"images_group_62_9096_6762.png","на"
"images_group_62_9096_6763.png","затрудении"
"images_group_62_9096_6765.png","для"
"images_group_62_9096_6766.png","обезмения"
"images_group_62_9096_6767.png","житилий"
"images_group_62_9096_6768.png","продовольствиемъ"
"images_group_62_9096_6769.png","п"
"images_group_62_9096_6770.png","семенам."
"images_group_62_9096_6771.png","на покъ."
"images_group_62_9096_6772.png","ве"
"images_group_62_9096_6773.png","ня"
"images_group_62_9096_6774.png","Судетъ"
"images_group_62_9096_6775.png","пото"
"images_group_62_9096_6776.png","му"
"images_group_62_9096_6777.png","что"
"images_group_62_9096_6778.png","у"
"images_group_62_9096_6779.png","многихъ"
"images_group_62_9096_6780.png","обывателей,"
"images_group_62_9096_6781.png","къ"
"images_group_62_9096_6782.png","Особен-"
"images_group_62_9096_6783.png","ности"
"images_group_62_9096_6784.png","въ"
"images_group_62_9096_6786.png","Абругия"
"images_group_62_9096_6788.png","достаночныя"
"images_group_62_9096_6789.png","запасы"
"images_group_62_9096_6790.png","хода."
"images_group_62_9096_6791.png","отъ"
"images_group_62_9096_6793.png","нихъ"
"images_group_62_9096_6795.png","Если"
"images_group_62_9096_6796.png","Ел."
"images_group_62_9096_6797.png","какихъ"
"images_group_62_9096_6798.png","либо"
"images_group_62_9096_6800.png","настяхъ"
"images_group_62_9096_6803.png","незначительный"
"images_group_62_9096_6804.png","недостановъ"
"images_group_62_9096_6805.png","въ"
"images_group_62_9096_6807.png","то"
"images_group_62_9096_6808.png","нужды"
"images_group_62_9096_6809.png","свои"
"images_group_62_9096_6810.png","дители"
