"image","prediction"
"images_group_62_9074_3718.png","вго"
"images_group_62_9074_3719.png","Илигераторскому"
"images_group_62_9074_3720.png","Эделичеству."
"images_group_62_9074_3721.png","Енисейскаго"
"images_group_62_9074_3722.png","будерпатора!"
"images_group_62_9074_3723.png","Запортъ."
"images_group_62_9074_3724.png","едееноїданнышас!"
"images_group_62_9074_3725.png","ценося"
"images_group_62_9074_3726.png","свошему"
"images_group_62_9074_3727.png","Имен"
"images_group_62_9074_3728.png","разморскому"
"images_group_62_9074_3729.png","Величеству,"
"images_group_62_9074_3730.png","что"
"images_group_62_9074_3731.png","во"
"images_group_62_9074_3733.png","ренной"
"images_group_62_9074_3734.png","управлению"
"images_group_62_9074_3735.png","смоему"
"images_group_62_9074_3736.png","губернию"
"images_group_62_9074_3737.png","все"
"images_group_62_9074_3738.png","состоянi"
"images_group_62_9074_3739.png","благопосирно;"
"images_group_62_9074_3741.png","на!"
"images_group_62_9074_3742.png","езысочайшие"
"images_group_62_9074_3743.png","центрѣнiе"
"images_group_62_9074_3744.png","Ваше"
"images_group_62_9074_3745.png","годовой"
"images_group_62_9074_3746.png","отчетъ"
"images_group_62_9074_3747.png","О"
"images_group_62_9074_3748.png","костоянии"
"images_group_62_9074_3749.png","губернии"
"images_group_62_9074_3750.png","за"
"images_group_62_9074_3751.png","1883"
"images_group_62_9074_3752.png","1622"
"images_group_62_9074_3753.png","Подписанъ:"
"images_group_62_9074_3754.png","Губернатора,"
"images_group_62_9074_3755.png","Генерала"
"images_group_62_9074_3756.png","Лейтененто"
"images_group_62_9074_3759.png","39"
"images_group_62_9074_3760.png","2 9..."
"images_group_62_9074_3761.png","1884 года)"
"images_group_62_9074_3762.png","А 216"
"images_group_62_9074_3763.png","Краснояренъ"
"images_group_62_909_5796.png","Житителъ"
"images_group_62_909_5797.png","сей"
"images_group_62_909_5798.png","состоить"
"images_group_62_909_5799.png","въ"
"images_group_62_909_5800.png","рсько-"
"images_group_62_909_5801.png","ряженїи"
"images_group_62_909_5802.png","Енисейскаго"
"images_group_62_909_5803.png","Губернскаго 1"
"images_group_62_909_5804.png","Прив-"
"images_group_62_909_5805.png","ления"
"images_group_62_909_5806.png","и числится"
"images_group_62_909_5807.png","по"
"images_group_62_909_5808.png","счетамъ"
"images_group_62_909_5809.png","Лизна-"
"images_group_62_909_5810.png","чействъ"
"images_group_62_909_5811.png","въ"
"images_group_62_909_5812.png","партикулярныхъ"
"images_group_62_909_5813.png","сулимая"
"images_group_62_909_5814.png","сего"
"images_group_62_909_5815.png","учреждения"
"images_group_62_909_5816.png","Военный"
"images_group_62_909_5817.png","Губернситоръ г."
"images_group_62_909_5818.png","Красноярска"
"images_group_62_909_5819.png","И"
"images_group_62_909_5820.png","Енисейскiй"
"images_group_62_909_5821.png","Гражданскiй"
"images_group_62_909_5822.png","Губернаторъ"
"images_group_62_909_5823.png","Генералъ-"
"images_group_62_909_5824.png","Мейоръ"
"images_group_62_909_5825.png","Втодомость"
"images_group_62_909_5826.png","О приходъ,"
"images_group_62_909_5827.png","расходъ"
"images_group_62_909_5828.png","гл."
"images_group_62_909_5829.png","остаткѣ"
"images_group_62_909_5830.png","суммъ"
"images_group_62_909_5831.png","по"
"images_group_62_909_5832.png","Красноярскому"
"images_group_62_909_5833.png","Губернекому"
"images_group_62_909_5834.png","Тюремному"
"images_group_62_909_5835.png","Комитету"
"images_group_62_909_5836.png","И"
"images_group_62_909_5837.png","ншемучискимъ"
"images_group_62_909_5838.png","отдпленiямъ"
"images_group_62_909_5839.png","За 1866 годъ"
"images_group_62_909_5840.png","Н."
"images_group_62_909_5842.png","Стати"
"images_group_62_909_5845.png","Чиновникъ"
"images_group_62_909_5846.png","Особых"
"images_group_62_909_5847.png","Пиручит:"
"images_group_62_9096_6755.png","Хотя"
"images_group_62_9096_6756.png","урожай"
"images_group_62_9096_6757.png","Хитва"
"images_group_62_9096_6758.png","окабался"
"images_group_62_9096_6759.png","нардо-"
"images_group_62_9096_6760.png","влитворитель"
"images_group_62_9096_6761.png","нимъ,"
"images_group_62_9096_6762.png","на"
"images_group_62_9096_6763.png","затруденiи"
"images_group_62_9096_6765.png","для"
"images_group_62_9096_6766.png","обезличенїю"
"images_group_62_9096_6767.png","Нитийи"
"images_group_62_9096_6768.png","1гродовольственное"
"images_group_62_9096_6769.png","жив"
"images_group_62_9096_6770.png","съемнашї"
"images_group_62_9096_6771.png","на посъ"
"images_group_62_9096_6772.png","в н"
"images_group_62_9096_6773.png","118"
"images_group_62_9096_6774.png","двудется"
"images_group_62_9096_6775.png","цвето-"
"images_group_62_9096_6776.png","ему,"
"images_group_62_9096_6777.png","что"
"images_group_62_9096_6778.png","ар"
"images_group_62_9096_6779.png","многихъ"
"images_group_62_9096_6780.png","обывателей,"
"images_group_62_9096_6781.png","С 1"
"images_group_62_9096_6782.png","особен-"
"images_group_62_9096_6783.png","ности!"
"images_group_62_9096_6784.png","62."
"images_group_62_9096_6786.png","оверущи,"
"images_group_62_9096_6788.png","достаточных"
"images_group_62_9096_6789.png","запасы"
"images_group_62_9096_6790.png","Албїга,"
"images_group_62_9096_6791.png","от 2"
"images_group_62_9096_6793.png","нихъ"
"images_group_62_9096_6795.png","вели"
"images_group_62_9096_6796.png","как"
"images_group_62_9096_6797.png","нашу?"
"images_group_62_9096_6798.png","какого"
"images_group_62_9096_6800.png","но сетяхъ"
"images_group_62_9096_6803.png","незначительный"
"images_group_62_9096_6804.png","неф статью!"
"images_group_62_9096_6805.png","въ"
"images_group_62_9096_6807.png","1220"
"images_group_62_9096_6808.png","нужды"
"images_group_62_9096_6809.png","свои)"
"images_group_62_9096_6810.png","десятелей"
"images_group_62_9096_6811.png","могутъ"
"images_group_62_9096_6812.png","удовлетворить"
"images_group_62_9096_6813.png","займомъ"
"images_group_62_9096_6814.png","изъ"
"images_group_62_9096_6815.png","запасницы"
"images_group_62_9096_6816.png","семейшицъ"
"images_group_62_9096_6817.png","экономическихъ"
"images_group_62_9096_6818.png","магазиновъ,"
"images_group_62_9096_6819.png","ва"
"images_group_62_9096_6820.png","конца"
"images_group_62_9096_6821.png","находится"
"images_group_62_9096_6822.png","на"
"images_group_62_9096_6823.png","лицо"
"images_group_62_9096_6824.png","озимаго"
"images_group_62_9096_6825.png","3.1"
"images_group_62_9096_6826.png","сяроваго"
"images_group_62_9096_6827.png","Хильба"
"images_group_62_9096_6828.png","9,0"
"images_group_62_9096_6829.png","264898 г."
"images_group_62_9096_6830.png","твертей;"
"images_group_62_9096_6831.png","Кроме"
"images_group_62_9096_6832.png","того,"
"images_group_62_9096_6833.png","занимаясь"
"images_group_62_9096_6834.png","здав того"
"images_group_62_9096_6835.png","промышленостейю,"
"images_group_62_9096_6836.png","наш"
"images_group_62_9096_6837.png","то"
"images_group_62_9096_6838.png","извозамъ"
"images_group_62_9096_6839.png","купоненцы"
"images_group_62_9096_6840.png","его варовъ,"
"images_group_62_9096_6841.png","рыболовствомъ"
"images_group_62_9096_6842.png","ее"
"images_group_62_9096_6843.png","добычей"
"images_group_62_9096_6844.png","зверей,"
"images_group_62_9096_6845.png","ни"
"images_group_62_9096_6846.png","смогутъ"
"images_group_62_9096_6848.png","сти"
"images_group_62_9096_6849.png","себя"
"images_group_62_9096_6850.png","средства)"
"images_group_62_9096_6851.png","юъ"
"images_group_62_9096_6853.png","хлюда."
"images_group_62_9096_6854.png","Но"
"images_group_62_9096_6855.png","зависимо"
"images_group_62_9096_6856.png","кио,"
"images_group_62_9096_6857.png","продовольствїе"
"images_group_62_9096_6859.png","вникшеной"
"images_group_62_9096_6860.png","губернии"
"images_group_62_9096_6861.png","обезпочивается"
"images_group_62_9096_6863.png","дующими"
"images_group_62_9096_6864.png","продовольственными"
"images_group_62_9096_6866.png","талами?"
"images_group_62_9096_6867.png","оц"
"images_group_62_9096_6868.png","губернатор"
"images_group_62_9096_6869.png","950 53"
"images_group_62_9096_6870.png","радъ"
"images_group_62_9096_6871.png","-29"
"images_group_62_9096_6873.png","находящимся"
"images_group_62_9096_6874.png","въ дворощении"
"images_group_62_9096_6875.png","в 2"
"images_group_62_9096_6876.png","Государствен-"
"images_group_62_9096_6877.png","нашъ"
"images_group_62_9096_6878.png","башей"
"images_group_62_9096_6879.png","Опроценции!"
"images_group_62_9096_6880.png","бумагацъ;"
"images_group_62_9096_6882.png","ситизанскимъ"
"images_group_62_9096_6883.png","ПЖ руэ"
"images_group_62_9096_6884.png","12�еон."
"images_group_62_9096_6885.png","все"
"images_group_62_9096_6886.png","Крестель-"
"images_group_62_9096_6887.png","Ишич,"
"images_group_62_9096_6888.png","Четъ-"
"images_group_62_9096_6889.png","Тунгуценгой"
"images_group_62_910_7874.png","Израсходовано"
"images_group_62_910_7875.png","изъ"
"images_group_62_910_7876.png","сусимъ"
"images_group_62_910_7877.png","Къ"
"images_group_62_910_7878.png","рему"
"images_group_62_910_7879.png","по ступило"
"images_group_62_910_7880.png","суммъ"
"images_group_62_910_7881.png","варя"
"images_group_62_910_7882.png","1866)."
"images_group_62_910_7883.png","енныхъ"
"images_group_62_910_7884.png","Частныихъ"
"images_group_62_910_7885.png","Итого"
"images_group_62_910_7886.png","лъ"
"images_group_62_910_7887.png","Кашенныхъ"
"images_group_62_910_7888.png","Частихъ"
"images_group_62_910_7889.png","Итого"
"images_group_62_910_7890.png","карту."
"images_group_62_910_7891.png","чтва"
"images_group_62_910_7892.png","ряВы г"
"images_group_62_910_7893.png","белаютворитель"
"images_group_62_910_7894.png","белаготвори-"
"images_group_62_910_7895.png","екостаточ"
"images_group_62_910_7896.png","ныхїм"
"images_group_62_910_7897.png","это"
"images_group_62_910_7898.png","осталось"
"images_group_62_910_7899.png","Оставало,"
"images_group_62_910_7900.png","тельныеъ"
"images_group_62_910_7901.png","И"
"images_group_62_910_7902.png","ными"
"images_group_62_910_7903.png","налическихъ"
"images_group_62_910_7904.png","Экономических"
"images_group_62_910_7905.png","По"
"images_group_62_910_7906.png","Губернскому"
"images_group_62_910_7907.png","Комитету-"
"images_group_62_910_7908.png","Аеич"
"images_group_62_910_7909.png","Кужскимъ"
"images_group_62_910_7910.png","отдпленiялъ-"
"images_group_62_910_7911.png","На"
"images_group_62_910_7912.png","капиталы"
"images_group_62_910_7913.png","Комитета"
"images_group_62_910_7914.png","о бращающееся"
"images_group_62_910_7915.png","въ"
"images_group_62_910_7916.png","кредитных"
"images_group_62_910_7917.png","становленияхъ"
"images_group_62_910_7918.png","въ"
"images_group_62_910_7919.png","количество-"
"images_group_62_910_7920.png","16.173р"
"images_group_62_910_7921.png","процентовъ"
"images_group_62_910_7922.png","не"
"images_group_62_910_7923.png","истребо вано."
"images_group_62_910_7924.png","Расходъ"
"images_group_62_910_7925.png","ихъ"
"images_group_62_910_7926.png","собственныхъ"
"images_group_62_910_7927.png","суммъ"
"images_group_62_910_7928.png","Колштета"
"images_group_62_910_7929.png","и т дпление"
"images_group_62_910_7930.png","простирался,"
"images_group_62_910_7931.png","какъ"
"images_group_62_910_7932.png","значится"
"images_group_62_910_7933.png","выше"
"images_group_62_910_7934.png","въ"
"images_group_62_910_7935.png","графп"
"images_group_62_910_7936.png","в,"
"images_group_62_910_7937.png","до-"
"images_group_62_910_7938.png","21175р."
"images_group_62_910_7939.png","Жїк,"
"images_group_62_910_7940.png","На"
"images_group_62_910_7941.png","селѣдующее"
"images_group_62_910_7942.png","предметы:"
"images_group_62_910_7943.png","Жалованье и"
"images_group_62_910_7944.png","пособие"
"images_group_62_910_7945.png","Смотрителямъ,"
"images_group_62_910_7946.png","Священно"
"images_group_62_910_7948.png","врачу,"
"images_group_62_910_7949.png","фельдшерамъ,"
"images_group_62_910_7950.png","надїирателямъ,"
"images_group_62_910_7951.png","содер-"
"images_group_62_910_7952.png","мание"
"images_group_62_910_7953.png","канцелярш"
"images_group_62_910_7954.png","гл"
"images_group_62_910_7955.png","прислуги-"
"images_group_62_910_7956.png","Одессаду,"
"images_group_62_910_7957.png","бѣлье"
"images_group_62_910_7958.png","И"
"images_group_62_910_7959.png","обувь."
"images_group_62_910_7960.png","Улучшенiе"
"images_group_62_910_7961.png","тюремъ,"
"images_group_62_910_7962.png","постройки"
"images_group_62_910_7963.png","вънихъ,"
"images_group_62_910_7964.png","исправление"
"images_group_62_910_7965.png","овречiдение,"
"images_group_62_910_7966.png","снабженiе"
"images_group_62_910_7967.png","необходимыми"
"images_group_62_910_7968.png","вещами-"
"images_group_62_910_7969.png","Яъ"
"images_group_62_910_7970.png","пособие"
"images_group_62_910_7971.png","на"
"images_group_62_910_7972.png","содержание"
"images_group_62_910_7973.png","больницъ,"
"images_group_62_910_7974.png","плату"
"images_group_62_910_7975.png","замедикаленты,"
"images_group_62_910_7976.png","покупку"
"images_group_62_910_7977.png","коммициарїатскихъ"
"images_group_62_910_7978.png","припасовъ-"
"images_group_62_910_7979.png","Улучшенiе"
"images_group_62_910_7980.png","арестантскои"
"images_group_62_910_7981.png","пищи"
"images_group_62_910_7982.png","понедостатку"
"images_group_62_910_7983.png","кормѣшеъ"
"images_group_62_910_7984.png","Еденегъ,"
"images_group_62_910_7985.png","покупку"
"images_group_62_910_7986.png","мяса"
"images_group_62_910_7987.png","рыбы"
"images_group_62_910_7988.png","ипроч.-"
"images_group_62_910_7989.png","Покупку,"
"images_group_62_910_7990.png","рогатаго"
"images_group_62_910_7991.png","скота"
"images_group_62_910_7992.png","для"
"images_group_62_910_7993.png","убоя,"
"images_group_62_910_7994.png","еиуки,"
"images_group_62_910_7995.png","речсанои"
"images_group_62_910_7996.png","напродовольствие"
"images_group_62_910_7997.png","арестантовъ"
"images_group_62_910_7998.png","Отсылку"
"images_group_62_910_7999.png","телеграмы"
"images_group_62_910_8000.png","Г. е"
"images_group_62_910_8001.png","Министру"
"images_group_62_910_8002.png","Внутреннихъ"
"images_group_62_910_8003.png","Фтл"
"images_group_62_910_8004.png","объ"
"images_group_62_910_8005.png","увеличении"
"images_group_62_910_8006.png","кормовыхъ"
"images_group_62_910_8007.png","арестантамъ."
"images_group_62_910_8008.png","Военный"
"images_group_62_910_8009.png","Губернаторъ 2"
"images_group_62_910_8010.png","Красноярско"
"images_group_62_910_8011.png","и внисецепш"
"images_group_62_910_8012.png","Гралиданские"
"images_group_62_910_8013.png","Губернаторъ,"
"images_group_62_910_8014.png","Генералъ-"
"images_group_62_910_8015.png","Магеру,"
"images_group_62_910_8016.png","пищи фонскию"
"images_group_62_910_8019.png","Перучий с"
"images_group_62_910_8020.png","Чащ вц-"
"images_group_62_9122_8934.png","Въ"
"images_group_62_9122_8936.png","равнушеров"
"images_group_62_9122_8938.png","тятьд"
"images_group_62_9122_8939.png","еещъ"
"images_group_62_9122_8941.png","ВтричМ. 9."
"images_group_62_9122_8942.png","Сеирешар"
"images_group_62_908_15058.png","Сборси"
"images_group_62_908_15059.png","на"
"images_group_62_908_15060.png","народное продоволь-"
"images_group_62_908_15061.png","стые"
"images_group_62_908_15062.png","Къ 1 числу Яньсеря"
"images_group_62_908_15063.png","1866 года"
"images_group_62_908_15064.png","(состоя-"
"images_group_62_908_15065.png","ло"
"images_group_62_908_15066.png","отаго"
"images_group_62_908_15067.png","капиталы и"
"images_group_62_908_15068.png","на лицо"
"images_group_62_908_15069.png","Въ недоимка"
"images_group_62_908_15070.png","на жителяхъ-"
"images_group_62_908_15071.png","Въ фолгу"
"images_group_62_908_15072.png","ни хлюбномъ"
"images_group_62_908_15073.png","капиталъ"
"images_group_62_908_15074.png","Въ 1866 году"
"images_group_62_908_15075.png","слюдовало"
"images_group_62_908_15076.png","собрать."
"images_group_62_908_15077.png","Въ то число"
"images_group_62_908_15078.png","собрано"
"images_group_62_908_15079.png","съ жите"
"images_group_62_908_15080.png","лей:"
"images_group_62_908_15081.png","Въ Мъщанъ,"
"images_group_62_908_15082.png","поселенцевъ"
"images_group_62_908_15083.png","и Инороэ-"
"images_group_62_908_15084.png","цевъ"
"images_group_62_908_15085.png","по 5 коптекъ,"
"images_group_62_908_15086.png","се съ крестьянъ"
"images_group_62_908_15087.png","по 3 котьки."
"images_group_62_908_15088.png","Исключено"
"images_group_62_908_15089.png","за убылью -"
"images_group_62_908_15090.png","Эгриъ."
"images_group_62_908_15091.png","Зачтено"
"images_group_62_908_15092.png","встрѿившись"
"images_group_62_908_15093.png","въ1865 году"
"images_group_62_908_15094.png","въ счетъ"
"images_group_62_908_15095.png","оклады 1866 года-"
"images_group_62_908_15096.png","Поступило"
"images_group_62_908_15097.png","въ счетъ"
"images_group_62_908_15098.png","оклоевсе 1867"
"images_group_62_908_15099.png","год и"
"images_group_62_908_15100.png","За томъ"
"images_group_62_908_15101.png","къ 1864 году"
"images_group_62_908_15102.png","осталось"
"images_group_62_908_15103.png","на лицо-"
"images_group_62_908_15104.png","Въ неѱогимкѣ"
"images_group_62_908_15105.png","на жителяхъ"
"images_group_62_908_15106.png","Въ эолгу"
"images_group_62_908_15107.png","на хлюбномъ"
"images_group_62_908_15108.png","ксигита"
