Final_Rank,Model,CER,WER,Accuracy,Average_Rank
1,trba_lite_g2,0.0515,0.2063,0.802,1.6667
2,trba_lite_g1,0.0512,0.2071,0.8017,2.0
3,trba_base_g1,0.0508,0.2091,0.7985,2.3333
4,dialecticstackmixDomino,0.0822,0.2853,0.7353,4.0
5,dialecticDomino,0.0867,0.2898,0.7271,5.0
6,trocr_ru_1700s,2.1189,0.3126,0.7258,6.3333
7,trocr_ru_kazars24,0.1166,0.3766,0.6408,7.0
8,trocr_ru_base_rxt,2.571,0.4052,0.6628,7.6667
9,cyrillic_g1,2.8655,1.73,0.0198,9.6667
9,trocr_cyrillic_hw,3.2965,0.5475,0.502,9.6667
11,cyrillic_g2,3.0184,2.1341,0.0177,10.6667
